MF Code,incept_date,schemecode,sdx_returns,sharpex_returns,sotinox_returns,betax_returns,alphax_returns,treynorx_returns,sdy_returns,sharpey_returns,sotinoy_returns,betay_returns,alphay_returns,treynory_returns,rank_sd,rank_sharpe,rank_sotino,rank_beta,rank_alpha,rank_treynor,index_name,s_name,avg_std_dev,avg_sharpe,avg_sotino,avg_beta,avg_alpha,avg_treyno,no_of_funds_total
UTI Nifty 50 ETF,2015-09-01,33150,12.77,1.77,2.75,0.99,4.86,22.81,0.8,0.11,0.17,0.99,0.02,0.09,33,82,83,67,92,96,NIFTY 50 - TRI,UTI Nifty 50 ETF,15.55,2.05,3.31,1.09,15.7,47.58,129
Nippon India Small Cap Fund(G),2010-09-16,12758,15.62,2.89,4.01,0.86,28.5,52.47,0.98,0.18,0.25,0.86,0.11,0.21,17,3,8,20,6,11,Nifty Smallcap 250 - TRI,Nippon India Small Cap Fund(G),15.05,2.66,3.8,0.79,24.98,51.05,24
Kotak Flexicap Fund(G),2009-09-11,7874,14.24,2.29,3.29,1.01,12.98,32.33,0.9,0.14,0.21,1.01,0.05,0.13,30,24,29,32,25,29,NIFTY 500 - TRI,Kotak Flexicap Fund(G),13.55,2.43,3.62,0.92,15.34,35.98,41
ICICI Pru Liquid Fund(G),2005-11-17,1659,0.08,27.27,15.05,0.0,2.07,27077.48,0.0,1.72,0.95,0.0,0.01,107.45,24,24,17,10,19,4,CRISIL Liquid Debt Index,ICICI Pru Liquid Fund(G),0.09,27.68,17.28,0.0,2.25,6474.33,36
Kotak Equity Arbitrage Fund(G),2005-09-29,1979,0.98,5.5,11.67,0.01,5.39,963.42,0.06,0.35,0.74,0.01,0.02,3.82,14,1,3,20,1,9,Nifty 50 Arbitrage,Kotak Equity Arbitrage Fund(G),0.97,5.02,10.54,-0.01,4.87,955.96,24
SBI BlueChip Fund-Reg(G),2006-01-20,2711,10.94,2.04,3.23,0.81,6.65,27.59,0.69,0.13,0.2,0.81,0.03,0.11,1,27,24,3,32,29,BSE 100 - TRI,SBI BlueChip Fund-Reg(G),13.14,2.23,3.38,0.94,11.11,31.2,36
Kotak Emerging Equity Fund(G),2007-03-30,1977,14.05,2.94,4.31,0.83,25.02,49.44,0.88,0.19,0.27,0.83,0.1,0.2,5,12,12,8,20,16,Nifty Midcap 150 - TRI,Kotak Emerging Equity Fund(G),15.22,2.82,4.14,0.88,25.85,48.65,30
Aditya Birla SL Liquid Fund(G),2004-03-30,293,0.07,28.67,14.97,0.0,2.07,11357.69,0.0,1.81,0.94,0.0,0.01,45.07,20,20,22,21,22,14,Nifty Liquid Fund Index,Aditya Birla SL Liquid Fund(G),0.09,27.68,17.28,0.0,2.25,6474.33,36
ICICI Pru Value Discovery Fund(G),2004-08-16,1492,10.96,3.12,4.92,0.8,18.67,42.64,0.69,0.2,0.31,0.8,0.07,0.17,2,2,2,2,13,9,NIFTY 500 - TRI,ICICI Pru Value Discovery Fund(G),14.66,2.73,4.02,0.97,21.01,41.19,22
CPSE ETF,2014-03-28,27621,27.87,2.88,4.09,0.99,77.72,81.19,1.76,0.18,0.26,0.99,0.31,0.32,125,11,31,75,1,10,Nifty CPSE,CPSE ETF,15.55,2.05,3.31,1.09,15.7,47.58,129
ICICI Pru Multi-Asset Fund(G),2002-10-31,1495,7.41,3.64,5.93,0.31,25.98,87.52,0.47,0.23,0.37,0.31,0.1,0.35,4,2,1,5,4,4,NIFTY 200 - TRI,ICICI Pru Multi-Asset Fund(G),8.58,2.8,4.31,1.23,22.73,69.73,13
UTI BSE Sensex ETF,2015-09-01,33151,12.75,1.56,2.46,0.99,2.12,20.03,0.8,0.1,0.16,0.99,0.01,0.08,26,99,99,81,108,108,BSE SENSEX - TRI,UTI BSE Sensex ETF,15.55,2.05,3.31,1.09,15.7,47.58,129
Mirae Asset Large Cap Fund-Reg(G),2008-04-04,4457,12.22,1.73,2.68,0.92,3.25,22.91,0.77,0.11,0.17,0.92,0.01,0.09,11,34,33,13,35,35,NIFTY 100 - TRI,Mirae Asset Large Cap Fund-Reg(G),13.14,2.23,3.38,0.94,11.11,31.2,36
Axis Liquid Fund-Reg(G),2009-10-09,8029,0.07,28.66,15.3,0.0,2.09,24858.31,0.0,1.81,0.96,0.0,0.01,98.64,23,21,13,14,16,6,Nifty Liquid Fund Index,Axis Liquid Fund-Reg(G),0.09,27.68,17.28,0.0,2.25,6474.33,36
Mirae Asset Large & Midcap Fund-Reg(G),2010-07-09,9767,13.75,2.43,3.52,0.95,15.07,35.28,0.87,0.15,0.22,0.95,0.06,0.14,10,15,18,14,19,19,NIFTY LargeMidcap 250 - TRI,Mirae Asset Large & Midcap Fund-Reg(G),14.14,2.59,3.77,0.92,18.57,39.45,26
ICICI Pru Equity & Debt Fund(G),1999-11-03,1482,9.91,3.16,4.78,0.47,29.86,66.68,0.62,0.2,0.3,0.47,0.12,0.26,38,9,12,49,4,18,CRISIL Hybrid 35+65 - Aggressive Index,ICICI Pru Equity & Debt Fund(G),7.39,2.59,3.98,0.33,18.79,66.11,52
Axis ELSS Tax Saver Fund-Reg(G),2009-12-29,8408,11.74,2.08,3.39,0.76,9.73,32.23,0.74,0.13,0.21,0.76,0.04,0.13,8,52,41,9,50,44,NIFTY 500 - TRI,Axis ELSS Tax Saver Fund-Reg(G),13.47,2.44,3.64,0.88,15.78,37.67,59
Nippon India Liquid Fund(G),2003-12-09,2637,0.07,28.48,15.12,0.0,2.04,10732.18,0.0,1.79,0.95,0.0,0.01,42.59,19,23,14,23,27,16,Nifty Liquid Fund Index,Nippon India Liquid Fund(G),0.09,27.68,17.28,0.0,2.25,6474.33,36
SBI Focused Equity Fund-Reg(G),2004-10-11,2817,10.45,2.59,4.13,0.66,14.19,40.8,0.66,0.16,0.26,0.66,0.06,0.16,1,18,10,1,23,17,BSE 500 - TRI,SBI Focused Equity Fund-Reg(G),13.67,2.56,3.79,0.9,17.47,38.98,33
HDFC Top 100 Fund(G),1996-09-03,1331,13.49,2.2,3.24,1.01,10.16,29.43,0.85,0.14,0.2,1.01,0.04,0.12,23,18,23,30,18,19,NIFTY 100 - TRI,HDFC Top 100 Fund(G),13.14,2.23,3.38,0.94,11.11,31.2,36
Axis Bluechip Fund-Reg(G),2010-01-05,8250,11.84,2.03,3.22,0.88,6.93,27.24,0.75,0.13,0.2,0.88,0.03,0.11,8,29,25,9,31,31,BSE 100 - TRI,Axis Bluechip Fund-Reg(G),13.14,2.23,3.38,0.94,11.11,31.2,36
Nippon India Multi Cap Fund(G),2005-03-28,2466,13.93,3.07,4.39,0.9,25.43,47.75,0.88,0.19,0.28,0.9,0.1,0.19,20,4,6,17,3,4,Nifty500 Multicap 50:25:25 - TRI,Nippon India Multi Cap Fund(G),13.67,2.56,3.79,0.9,17.47,38.98,33
Kotak Liquid Fund-Reg(G),2003-11-04,2060,0.16,18.58,24.17,0.0,3.02,15891.75,0.01,1.17,1.52,0.0,0.01,63.06,36,34,1,25,1,11,Nifty Liquid Fund Index,Kotak Liquid Fund-Reg(G),0.09,27.68,17.28,0.0,2.25,6474.33,36
SBI Arbitrage Opportunities Fund-Reg(G),2006-11-03,2709,0.98,5.18,10.92,0.01,5.07,952.59,0.06,0.33,0.69,0.01,0.02,3.78,13,12,10,19,8,10,Nifty 50 Arbitrage,SBI Arbitrage Opportunities Fund-Reg(G),0.97,5.02,10.54,-0.01,4.87,955.96,24
SBI Contra Fund-Reg(G),1999-07-14,2809,13.57,2.85,4.1,0.9,21.29,43.07,0.85,0.18,0.26,0.9,0.08,0.17,7,9,8,6,8,7,BSE 500 - TRI,SBI Contra Fund-Reg(G),14.66,2.73,4.02,0.97,21.01,41.19,22
SBI Balanced Advantage Fund-Reg(G),2021-08-31,32097,6.31,3.19,4.84,0.28,19.25,72.78,0.4,0.2,0.3,0.28,0.08,0.29,4,3,3,4,12,3,NIFTY 50 Hybrid Composite Debt 50:50 Index,SBI Balanced Advantage Fund-Reg(G),8.49,2.5,3.7,0.75,19.81,58.1,26
HDFC Small Cap Fund-Reg(G),2008-04-03,4455,14.41,2.43,3.46,0.75,20.51,46.75,0.91,0.15,0.22,0.75,0.08,0.19,8,19,19,9,19,20,BSE 250 Small Cap - TRI,HDFC Small Cap Fund-Reg(G),15.05,2.66,3.8,0.79,24.98,51.05,24
HDFC Corp Bond Fund(G),2010-06-29,8241,0.74,6.3,10.34,0.06,4.46,71.92,0.05,0.4,0.65,0.06,0.02,0.29,7,4,4,4,3,4,NIFTY Corporate Bond Index,HDFC Corp Bond Fund(G),0.79,5.23,9.13,0.08,3.79,56.06,21
SBI Small Cap Fund-Reg(G),2009-09-09,7885,12.7,2.81,4.07,0.67,22.65,52.97,0.8,0.18,0.26,0.67,0.09,0.21,2,8,4,2,14,7,BSE 250 Small Cap - TRI,SBI Small Cap Fund-Reg(G),15.05,2.66,3.8,0.79,24.98,51.05,24
UTI Liquid Fund-Reg(G),2003-12-10,3590,0.07,30.42,15.08,0.0,2.07,26877.44,0.0,1.92,0.95,0.0,0.01,106.66,12,11,16,17,23,5,Nifty Liquid Fund Index,UTI Liquid Fund-Reg(G),0.09,27.68,17.28,0.0,2.25,6474.33,36
Nippon India Growth Fund(G),1995-10-08,2573,15.93,2.99,4.32,0.95,29.31,50.35,1.0,0.19,0.27,0.95,0.12,0.2,22,6,11,25,9,12,Nifty Midcap 150 - TRI,Nippon India Growth Fund(G),15.22,2.82,4.14,0.88,25.85,48.65,30
Axis Midcap Fund-Reg(G),2011-02-18,13049,13.11,2.85,4.32,0.79,22.02,47.28,0.83,0.18,0.27,0.79,0.09,0.19,3,18,10,4,24,22,BSE 150 MidCap - TRI,Axis Midcap Fund-Reg(G),15.22,2.82,4.14,0.88,25.85,48.65,30
ICICI Pru Corp Bond Fund(G),2009-08-11,7925,0.67,7.21,12.85,0.06,4.66,82.13,0.04,0.45,0.81,0.06,0.02,0.33,4,2,2,3,1,2,NIFTY Corporate Bond Index,ICICI Pru Corp Bond Fund(G),0.79,5.23,9.13,0.08,3.79,56.06,21
Aditya Birla SL Frontline Equity Fund(G),2002-08-30,447,12.64,2.18,3.33,0.95,9.02,28.83,0.8,0.14,0.21,0.95,0.04,0.11,15,20,20,18,22,23,NIFTY 100 - TRI,Aditya Birla SL Frontline Equity Fund(G),13.14,2.23,3.38,0.94,11.11,31.2,36
Nippon India ETF Nifty 50 BeES,2001-12-28,2272,12.77,1.77,2.75,0.99,4.86,22.83,0.8,0.11,0.17,0.99,0.02,0.09,31,78,81,65,90,91,NIFTY 50 - TRI,Nippon India ETF Nifty 50 BeES,15.55,2.05,3.31,1.09,15.7,47.58,129
Nippon India Large Cap Fund(G),2007-08-08,2455,13.5,2.46,3.6,0.99,14.04,33.59,0.85,0.16,0.23,0.99,0.06,0.13,25,9,9,27,9,11,BSE 100 - TRI,Nippon India Large Cap Fund(G),13.14,2.23,3.38,0.94,11.11,31.2,36
SBI Savings Fund-Reg(G),2004-07-14,2774,0.3,14.27,30.14,0.0,4.33,2085.33,0.02,0.9,1.9,0.0,0.02,8.28,6,16,12,15,16,15,CRISIL Money Market Index,SBI Savings Fund-Reg(G),0.31,14.55,30.29,0.0,4.49,2345.68,21
UTI Flexi Cap Fund-Reg(G),2005-08-01,3461,10.44,1.64,2.75,0.68,3.98,25.25,0.66,0.1,0.17,0.68,0.02,0.1,1,41,39,2,41,40,NIFTY 500 - TRI,UTI Flexi Cap Fund-Reg(G),13.55,2.43,3.62,0.92,15.34,35.98,41
SBI Long Term Equity Fund-Reg(G),1993-03-31,2815,13.23,3.5,5.2,0.89,29.01,51.99,0.83,0.22,0.33,0.89,0.12,0.21,30,1,3,31,1,1,BSE 500 - TRI,SBI Long Term Equity Fund-Reg(G),13.47,2.44,3.64,0.88,15.78,37.67,59
Aditya Birla SL Money Manager Fund(G),2005-10-13,394,0.32,15.28,31.18,0.0,4.86,4090.72,0.02,0.96,1.96,0.0,0.02,16.23,15,2,4,2,1,1,CRISIL Money Market Index,Aditya Birla SL Money Manager Fund(G),0.31,14.55,30.29,0.0,4.49,2345.68,21
SBI Large & Midcap Fund-Reg(G),1993-02-28,2801,12.1,2.42,3.61,0.82,13.43,35.78,0.76,0.15,0.23,0.82,0.05,0.14,3,17,15,3,22,17,NIFTY LargeMidcap 250 - TRI,SBI Large & Midcap Fund-Reg(G),14.14,2.59,3.77,0.92,18.57,39.45,26
HDFC Hybrid Equity Fund(G),2005-04-06,1311,9.42,1.91,2.83,0.4,16.76,45.51,0.59,0.12,0.18,0.4,0.07,0.18,32,48,49,34,28,49,NIFTY 50 Hybrid Composite Debt 65:35 Index,HDFC Hybrid Equity Fund(G),7.39,2.59,3.98,0.33,18.79,66.11,52
Mirae Asset ELSS Tax Saver Fund-Reg(G),2015-12-28,33536,13.07,2.3,3.38,0.93,11.94,32.18,0.82,0.14,0.21,0.93,0.05,0.13,27,43,43,41,41,45,NIFTY 500 - TRI,Mirae Asset ELSS Tax Saver Fund-Reg(G),13.47,2.44,3.64,0.88,15.78,37.67,59
ICICI Pru Money Market Fund(G),2006-03-08,1690,0.32,15.03,30.99,0.0,4.81,3462.4,0.02,0.95,1.95,0.0,0.02,13.74,19,5,7,5,4,4,Nifty Money Market Index,ICICI Pru Money Market Fund(G),0.31,14.55,30.29,0.0,4.49,2345.68,21
HDFC Money Market Fund-Reg(G),2000-01-03,1119,0.31,15.36,30.95,0.0,4.71,3742.93,0.02,0.97,1.95,0.0,0.02,14.85,7,1,9,3,8,2,CRISIL Money Market Index,HDFC Money Market Fund-Reg(G),0.31,14.55,30.29,0.0,4.49,2345.68,21
Kotak Equity Opp Fund(G),2004-09-09,2069,14.36,2.71,3.86,0.96,20.24,40.5,0.9,0.17,0.24,0.96,0.08,0.16,17,11,12,18,11,12,NIFTY LargeMidcap 250 - TRI,Kotak Equity Opp Fund(G),14.14,2.59,3.77,0.92,18.57,39.45,26
Aditya Birla SL Corp Bond Fund(G),1997-03-03,453,0.97,4.92,8.6,0.1,4.46,47.17,0.06,0.31,0.54,0.1,0.02,0.19,20,14,14,20,2,14,NIFTY Corporate Bond Index,Aditya Birla SL Corp Bond Fund(G),0.79,5.23,9.13,0.08,3.79,56.06,21
Canara Rob Emerg Equities Fund-Reg(G),2005-03-11,523,12.68,2.62,4.04,0.87,16.48,38.43,0.8,0.17,0.25,0.87,0.07,0.15,5,13,10,6,17,15,NIFTY LargeMidcap 250 - TRI,Canara Rob Emerg Equities Fund-Reg(G),14.14,2.59,3.77,0.92,18.57,39.45,26
ICICI Pru Asset Allocator Fund(FOF)(G),2003-12-18,1704,4.48,4.03,6.97,0.22,17.34,82.33,0.28,0.25,0.44,0.22,0.07,0.33,15,4,4,17,28,9,CRISIL Hybrid 50+50 - Moderate Index,ICICI Pru Asset Allocator Fund(FOF)(G),8.71,2.66,4.36,0.46,19.3,63.9,53
Quant Small Cap Fund(G),1996-10-16,876,19.41,2.66,3.64,1.05,31.22,48.96,1.22,0.17,0.23,1.05,0.12,0.19,24,12,16,24,5,14,Nifty Smallcap 250 - TRI,Quant Small Cap Fund(G),15.05,2.66,3.8,0.79,24.98,51.05,24
Tata Liquid Fund-Reg(G),2004-09-01,3212,0.07,31.7,14.91,0.0,2.04,20439.09,0.0,2.0,0.94,0.0,0.01,81.11,8,8,27,16,29,8,CRISIL Liquid Debt Index,Tata Liquid Fund-Reg(G),0.09,27.68,17.28,0.0,2.25,6474.33,36
ICICI Pru Equity-Arbitrage Fund(G),2006-12-30,1467,0.94,5.35,11.26,0.0,5.01,3016.52,0.06,0.34,0.71,0.0,0.02,11.97,5,7,7,14,10,4,Nifty 50 Arbitrage,ICICI Pru Equity-Arbitrage Fund(G),0.97,5.02,10.54,-0.01,4.87,955.96,24
SBI Flexicap Fund-Reg(G),2005-09-16,2799,11.86,2.04,3.06,0.84,7.84,28.68,0.75,0.13,0.19,0.84,0.03,0.11,6,36,34,11,36,36,BSE 500 - TRI,SBI Flexicap Fund-Reg(G),13.55,2.43,3.62,0.92,15.34,35.98,41
Axis Small Cap Fund-Reg(G),2013-11-29,21651,12.84,2.5,3.77,0.68,18.98,47.28,0.81,0.16,0.24,0.68,0.08,0.19,3,16,14,3,22,19,Nifty Smallcap 250 - TRI,Axis Small Cap Fund-Reg(G),15.05,2.66,3.8,0.79,24.98,51.05,24
Aditya Birla SL Flexi Cap Fund(G),1998-08-27,445,12.88,2.4,3.7,0.93,12.75,33.04,0.81,0.15,0.23,0.93,0.05,0.13,18,21,16,24,26,27,NIFTY 500 - TRI,Aditya Birla SL Flexi Cap Fund(G),13.55,2.43,3.62,0.92,15.34,35.98,41
HSBC Liquid Fund(G),2004-06-01,1340,0.09,25.32,17.91,0.0,2.27,29221.95,0.01,1.6,1.13,0.0,0.01,115.96,26,26,12,11,11,3,Nifty Liquid Fund Index,HSBC Liquid Fund(G),0.09,27.68,17.28,0.0,2.25,6474.33,36
Kotak Money Market Fund(G),2003-07-14,1999,0.32,14.96,31.17,0.0,4.79,3130.42,0.02,0.94,1.96,0.0,0.02,12.42,18,6,5,7,6,6,CRISIL Money Market Index,Kotak Money Market Fund(G),0.31,14.55,30.29,0.0,4.49,2345.68,21
SBI Corp Bond Fund-Reg(G),2019-02-01,40450,0.74,5.33,9.01,0.07,3.7,57.53,0.05,0.34,0.57,0.07,0.01,0.23,6,5,12,5,11,5,NIFTY Corporate Bond Index,SBI Corp Bond Fund-Reg(G),0.79,5.23,9.13,0.08,3.79,56.06,21
ICICI Pru India Opp Fund(G),2019-01-15,42140,10.87,3.49,5.76,0.75,23.41,50.65,0.68,0.22,0.36,0.75,0.09,0.2,4,4,2,11,13,8,NIFTY 500 - TRI,ICICI Pru India Opp Fund(G),14.83,2.6,3.92,0.92,20.6,41.25,46
HDFC Large and Mid Cap Fund-Reg(G),1994-02-18,2271,14.24,2.8,3.98,0.96,21.14,41.3,0.9,0.18,0.25,0.96,0.08,0.16,15,9,11,19,9,10,NIFTY LargeMidcap 250 - TRI,HDFC Large and Mid Cap Fund-Reg(G),14.14,2.59,3.77,0.92,18.57,39.45,26
ICICI Pru Savings Fund(G),2002-09-27,1500,0.39,13.14,24.45,0.01,5.07,426.79,0.02,0.83,1.54,0.01,0.02,1.69,20,5,14,8,1,5,NIFTY Low Duration Debt Index,ICICI Pru Savings Fund(G),0.34,12.74,25.01,0.01,4.25,355.41,20
BHARAT Bond ETF - April 2030,2019-12-30,44421,1.23,3.3,5.58,0.13,3.7,32.08,0.08,0.21,0.35,0.13,0.01,0.13,8,8,8,10,7,9,NIFTY BHARAT Bond Index - April 2030,BHARAT Bond ETF - April 2030,1.28,6.42,10.5,0.21,3.44,729.47,17
Tata Money Market Fund-Reg(G),2003-05-22,3267,0.33,14.88,31.12,0.0,4.81,1879.24,0.02,0.94,1.96,0.0,0.02,7.46,20,9,6,19,5,17,CRISIL Money Market Index,Tata Money Market Fund-Reg(G),0.31,14.55,30.29,0.0,4.49,2345.68,21
SBI Magnum Midcap Fund-Reg(G),2005-03-29,2789,12.1,2.64,4.02,0.68,18.8,47.2,0.76,0.17,0.25,0.68,0.07,0.19,1,26,22,1,27,23,Nifty Midcap 150 - TRI,SBI Magnum Midcap Fund-Reg(G),15.22,2.82,4.14,0.88,25.85,48.65,30
Bharat 22 ETF,2017-11-24,38252,22.37,2.42,3.35,0.76,52.14,71.06,1.41,0.15,0.21,0.76,0.21,0.28,122,56,65,38,2,12,BSE Bharat 22 Index - TRI,Bharat 22 ETF,15.55,2.05,3.31,1.09,15.7,47.58,129
ICICI Pru Short Term Fund(G),2001-10-25,1682,0.79,5.91,11.29,0.09,4.38,53.8,0.05,0.37,0.71,0.09,0.02,0.21,17,3,2,18,2,6,Nifty Short Duration Debt Index,ICICI Pru Short Term Fund(G),0.75,5.09,8.81,0.08,3.48,283.0,26
DSP Midcap Fund-Reg(G),2006-11-14,735,14.12,2.96,4.37,0.83,25.73,50.55,0.89,0.19,0.28,0.83,0.1,0.2,6,11,8,7,17,10,Nifty Midcap 150 - TRI,DSP Midcap Fund-Reg(G),15.22,2.82,4.14,0.88,25.85,48.65,30
HDFC Low Duration Fund(G),1999-11-18,1114,0.34,12.94,24.29,0.01,4.41,506.37,0.02,0.82,1.53,0.01,0.02,2.01,13,9,16,4,4,4,NIFTY Low Duration Debt Index,HDFC Low Duration Fund(G),0.34,12.74,25.01,0.01,4.25,355.41,20
UTI Nifty 50 Index Fund-Reg(G),2000-03-04,3641,12.8,1.75,2.71,0.99,3.23,22.65,0.81,0.11,0.17,0.99,0.01,0.09,24,66,66,51,69,68,NIFTY 50 - TRI,UTI Nifty 50 Index Fund-Reg(G),15.55,2.33,3.49,0.99,17.73,37.71,95
Nippon India Money Market Fund(G),2005-06-15,2628,0.32,15.23,31.26,0.0,4.84,3209.14,0.02,0.96,1.97,0.0,0.02,12.73,14,3,2,8,3,5,Nifty Money Market Index,Nippon India Money Market Fund(G),0.31,14.55,30.29,0.0,4.49,2345.68,21
Invesco India Arbitrage Fund(G),2007-04-30,2167,0.96,5.38,11.62,0.01,5.12,556.87,0.06,0.34,0.73,0.01,0.02,2.21,9,5,5,22,5,12,Nifty 50 Arbitrage,Invesco India Arbitrage Fund(G),0.97,5.02,10.54,-0.01,4.87,955.96,24
ICICI Pru Nifty 50 ETF,2013-03-20,20803,12.77,1.77,2.75,0.99,4.89,22.83,0.8,0.11,0.17,0.99,0.02,0.09,36,80,80,70,88,93,NIFTY 50 - TRI,ICICI Pru Nifty 50 ETF,15.55,2.05,3.31,1.09,15.7,47.58,129
Kotak Balanced Advantage Fund-Reg(G),2018-08-03,40623,6.43,2.56,3.98,0.35,15.35,47.38,0.41,0.16,0.25,0.35,0.06,0.19,5,12,8,11,23,24,NIFTY 50 Hybrid Composite Debt 50:50 Index,Kotak Balanced Advantage Fund-Reg(G),8.49,2.5,3.7,0.75,19.81,58.1,26
SBI Multicap Fund-Reg(G),2022-03-08,46405,11.74,2.61,3.95,0.7,17.06,43.65,0.74,0.16,0.25,0.7,0.07,0.17,4,17,15,2,19,10,Nifty500 Multicap 50:25:25 - TRI,SBI Multicap Fund-Reg(G),13.67,2.56,3.79,0.9,17.47,38.98,33
Aditya Birla SL ELSS Tax Saver Fund(G),2008-03-10,4637,12.42,2.4,3.54,0.9,12.35,33.11,0.78,0.15,0.22,0.9,0.05,0.13,17,33,30,34,40,41,NIFTY 500 - TRI,Aditya Birla SL ELSS Tax Saver Fund(G),13.47,2.44,3.64,0.88,15.78,37.67,59
Franklin India Flexi Cap Fund(G),1994-09-29,950,12.82,2.79,4.14,0.92,17.99,38.96,0.81,0.18,0.26,0.92,0.07,0.15,17,8,8,22,11,13,NIFTY 500 - TRI,Franklin India Flexi Cap Fund(G),13.55,2.43,3.62,0.92,15.34,35.98,41
Mirae Asset Midcap Fund-Reg(G),2019-07-29,43349,14.64,2.78,4.04,0.87,23.91,46.95,0.92,0.18,0.25,0.87,0.09,0.19,15,23,21,15,22,24,Nifty Midcap 150 - TRI,Mirae Asset Midcap Fund-Reg(G),15.22,2.82,4.14,0.88,25.85,48.65,30
Kotak Small Cap Fund(G),2005-02-24,2066,12.98,2.83,4.07,0.7,23.13,52.64,0.82,0.18,0.26,0.7,0.09,0.21,4,7,6,4,12,9,Nifty Smallcap 250 - TRI,Kotak Small Cap Fund(G),15.05,2.66,3.8,0.79,24.98,51.05,24
DSP ELSS Tax Saver Fund-Reg(G),2007-01-18,745,14.13,2.67,3.88,1.0,18.37,37.83,0.89,0.17,0.24,1.0,0.07,0.15,37,12,14,52,20,28,NIFTY 500 - TRI,DSP ELSS Tax Saver Fund-Reg(G),13.47,2.44,3.64,0.88,15.78,37.67,59
Nippon India Arbitrage Fund(G),2010-10-14,12938,0.93,5.34,11.1,0.0,4.96,1225.5,0.06,0.34,0.7,0.0,0.02,4.86,4,8,8,18,16,7,Nifty 50 Arbitrage,Nippon India Arbitrage Fund(G),0.97,5.02,10.54,-0.01,4.87,955.96,24
