s_name,classification,schemecode,return_year1,return_year2,return_year3,return_year4,return_year5,return_year6,return_year7,return_year8,return_year9,return_year10,rank_year1,rank_year2,rank_year3,rank_year4,rank_year5,rank_year6,rank_year7,rank_year8,rank_year9,rank_year10,return_month1,return_month2,return_month3,return_month4,return_month5,return_month6,return_month7,return_month8,return_month9,return_month10,rank_month1,rank_month2,rank_month3,rank_month4,rank_month5,rank_month6,rank_month7,rank_month8,rank_month9,rank_month10,return_quarter1,return_quarter2,return_quarter3,return_quarter4,return_quarter5,return_quarter6,return_quarter7,return_quarter8,return_quarter9,return_quarter10,rank_quarter1,rank_quarter2,rank_quarter3,rank_quarter4,rank_quarter5,rank_quarter6,rank_quarter7,rank_quarter8,rank_quarter9,rank_quarter10,avg_year1,avg_year2,avg_year3,avg_year4,avg_year5,avg_year6,avg_year7,avg_year8,avg_year9,avg_year10,avg_month1,avg_month2,avg_month3,avg_month4,avg_month5,avg_month6,avg_month7,avg_month8,avg_month9,avg_month10,avg_quarter1,avg_quarter2,avg_quarter3,avg_quarter4,avg_quarter5,avg_quarter6,avg_quarter7,avg_quarter8,avg_quarter9,avg_quarter10,num_funds_year1,num_funds_year2,num_funds_year3,num_funds_year4,num_funds_year5,num_funds_year6,num_funds_year7,num_funds_year8,num_funds_year9,num_funds_year10,num_funds_month1,num_funds_month2,num_funds_month3,num_funds_month4,num_funds_month5,num_funds_month6,num_funds_month7,num_funds_month8,num_funds_month9,num_funds_month10,num_funds_quater10,num_funds_quater9,num_funds_quater8,num_funds_quater7,num_funds_quater6,num_funds_quater5,num_funds_quater4,num_funds_quater3,num_funds_quater2,num_funds_quater1
HDFC Flexi Cap Fund(G),Equity : Flexi Cap,1131,30.6,18.29,36.17,6.44,6.83,-3.53,36.86,7.26,-5.09,53.77,13,1,10,26,21,8,11,6,17,10,3.26,1.19,3.05,2.24,7.58,7.38,-2.37,1.9,0.04,4.41,34,21,12,19,12,14,17,20,25,14,6.61,12.8,6.44,11.86,-2.75,8.16,11.19,-5.19,3.73,-0.72,14,12,18,31,7,1,17,2,2,26,28.36,0.44,33.22,17.62,9.98,-5.03,36.15,4.25,1.92,52.71,4.13,0.86,2.01,1.89,6.8,7.24,-2.54,1.97,0.47,3.77,4.95,11.62,6.35,12.91,-4.01,2.6,11.24,-10.26,-2.27,0.87,39,33,29,26,26,23,21,21,19,18,47,47,47,46,46,45,45,44,43,43,33,33,35,35,39,39,41,43,45,46
UTI Nifty 50 ETF,Equity : ETFs,33150,21.25,5.62,25.49,15.69,13.45,4.53,30.31,4.68,-,-,84,41,38,37,18,22,19,12,-,-,1.24,1.56,1.31,0.01,7.93,5.59,-2.75,1.99,-2.3,3.06,90,75,92,102,74,94,64,57,96,68,2.91,10.83,2.69,11.02,-4.04,6.04,8.68,-9.12,0.83,-1.3,88,86,83,83,58,51,60,52,29,51,28.47,3.94,27.55,13.11,8.95,0.95,32.5,5.06,-4.48,36.67,2.72,0.73,2.68,1.58,8,7.04,-2.91,2.49,-0.98,3.83,5.13,12.17,5.33,12.52,-3.29,4.87,9.9,-9.47,-0.93,-0.47,122,93,72,61,53,47,43,37,-,-,149,147,145,141,141,141,138,136,134,129,84,93,103,103,117,122,129,129,138,141
Nippon India Small Cap Fund(G),Equity : Small Cap,12758,48.92,6.54,74.34,29.24,-2.52,-16.69,62.97,5.56,15.11,97.6,5,5,3,9,10,6,3,8,3,4,9.26,-0.92,-0.68,3.62,5.65,8.36,-1.36,1.23,4.73,6.16,6,6,13,14,5,15,9,10,6,7,1.96,12.93,12.54,19.86,-2.24,2.66,16.11,-8.48,-2.34,7.63,10,7,7,3,7,5,7,4,7,5,41.08,1.3,62.64,30.35,-0.96,-16.72,49.29,6.2,10.26,76.99,8.04,-1.98,-0.79,4.25,4.34,8.64,-1.45,1.3,3.99,5.49,1.38,11.85,11.12,17.15,-3.19,0.84,14.98,-9.56,-3.37,5.06,24,23,22,19,17,14,13,13,13,11,27,27,27,27,26,25,24,24,24,24,23,23,23,23,23,24,24,24,24,27
Kotak Flexicap Fund(G),Equity : Flexi Cap,7874,24.2,5,25.37,11.79,12.28,-0.88,34.31,9.44,2.96,57.87,33,8,24,19,8,5,13,3,7,4,4.44,2.43,1.91,0.18,8.39,5.43,-3.38,1.88,0.21,3.63,17,7,27,38,5,44,36,22,24,25,4.57,10.41,5.8,10.31,-3.61,5.63,10.55,-9.37,-0.79,-0.94,26,31,27,39,16,4,20,14,12,27,28.36,0.44,33.22,17.62,9.98,-5.03,36.15,4.25,1.92,52.71,4.13,0.86,2.01,1.89,6.8,7.24,-2.54,1.97,0.47,3.77,4.95,11.62,6.35,12.91,-4.01,2.6,11.24,-10.26,-2.27,0.87,39,33,29,26,26,23,21,21,19,18,47,47,47,46,46,45,45,44,43,43,33,33,35,35,39,39,41,43,45,46
SBI BlueChip Fund-Reg(G),Equity : Large Cap,2711,22.62,4.36,26.08,16.34,11.64,-4.11,30.23,4.83,7.99,47.86,22,9,19,13,14,22,17,13,2,6,1.41,3.21,0.21,-0.9,6.74,5.2,-3.03,1.76,-1.67,2.6,34,3,35,35,26,34,27,22,26,28,2.5,8.89,2.67,13.03,-2.95,4.89,9.29,-7.7,-1.36,-1.01,34,33,30,7,6,13,21,4,16,22,24.08,2.41,25.87,14.65,10.95,-2.17,31.3,4.13,1.2,42.67,2.75,1.66,2.35,1.6,7.39,6.47,-2.72,1.91,-1.1,3.4,5.75,11.23,4.22,11.7,-4.18,4.22,9.98,-9.32,-1.53,-0.63,36,34,33,31,30,30,28,28,28,28,37,37,36,36,36,36,36,36,36,36,34,34,34,34,35,36,36,36,36,36
Kotak Equity Arbitrage Fund(G),Hybrid : Arbitrage,1979,7.38,4.53,3.96,4.33,6.07,6.32,5.84,6.65,7.5,8.99,2,3,2,7,9,2,4,5,10,1,0.72,0.63,0.62,0.87,0.62,0.44,0.6,0.68,0.76,0.51,1,8,1,2,4,7,4,3,6,8,2.14,1.66,1.96,1.85,1.71,1.45,0.9,1.15,0.95,0.92,2,1,2,2,4,4,5,3,3,5,6.94,3.96,3.44,3.95,5.89,5.62,5.55,6.57,7.61,8.37,0.65,0.6,0.55,0.82,0.58,0.42,0.56,0.64,0.72,0.49,1.98,1.57,1.86,1.73,1.6,1.32,0.81,0.98,0.8,0.78,24,24,24,22,19,16,16,14,14,10,26,26,26,26,26,25,25,24,24,24,24,24,24,24,24,24,24,24,25,26
ICICI Pru Liquid Fund(G),Debt : Liquid,1659,6.98,4.76,3.23,4.27,6.6,7.4,6.64,7.66,8.33,9.12,12,23,23,9,13,16,18,9,17,8,0.62,0.65,0.58,0.61,0.61,0.56,0.56,0.56,0.56,0.57,4,5,17,4,6,15,32,21,24,19,1.85,1.74,1.69,1.7,1.67,1.58,1.26,0.97,0.87,0.84,7,20,21,15,10,24,22,25,21,22,6.92,4.76,3.23,4.03,6.47,6.91,6.62,7.57,8.3,9.07,0.6,0.63,0.58,0.59,0.6,0.56,0.57,0.55,0.55,0.57,1.81,1.73,1.68,1.68,1.64,1.58,1.26,0.98,0.87,0.85,35,35,34,34,32,30,30,29,29,29,37,37,37,37,37,37,37,37,37,36,35,35,35,35,35,35,36,36,37,37
Aditya Birla SL Liquid Fund(G),Debt : Liquid,293,7.05,4.82,3.26,4.29,6.69,7.41,6.69,7.7,8.38,9.18,2,14,14,5,6,13,12,6,8,4,0.62,0.65,0.58,0.6,0.61,0.56,0.57,0.56,0.56,0.57,7,7,25,10,8,19,21,11,22,14,1.84,1.75,1.7,1.71,1.71,1.61,1.27,0.98,0.88,0.86,14,15,16,6,1,8,15,19,9,7,6.92,4.76,3.23,4.03,6.47,6.91,6.62,7.57,8.3,9.07,0.6,0.63,0.58,0.59,0.6,0.56,0.57,0.55,0.55,0.57,1.81,1.73,1.68,1.68,1.64,1.58,1.26,0.98,0.87,0.85,35,35,34,34,32,30,30,29,29,29,37,37,37,37,37,37,37,37,37,36,35,35,35,35,35,35,36,36,37,37
Kotak Emerging Equity Fund(G),Equity : Mid Cap,1977,31.5,5.13,47.31,21.89,8.86,-11.72,43,10.36,8.42,87.32,27,6,10,15,4,10,9,4,9,2,7.34,-0.09,1.48,0.67,4.77,6.91,-2.06,1.28,3.4,4.01,8,21,12,26,21,29,5,17,14,22,2.06,9.7,8.93,13.14,-2.73,1.02,15.2,-8.09,-1.71,2.76,23,23,19,25,9,12,12,7,10,9,36.87,2.52,44.05,24.02,3.22,-11.45,42.34,4.33,8.82,71.5,6.33,0.25,1.23,3.21,5.51,8.97,-2.74,1.6,3.28,4.92,4.75,11.82,10.1,15.84,-4.03,0.51,15.09,-9.11,-2.56,1.6,30,25,24,23,22,21,20,20,20,19,30,30,30,30,30,30,30,30,30,30,25,25,25,25,27,30,30,30,30,30
ICICI Pru Value Discovery Fund(G),Equity : Value / Contra,1492,31.4,14.95,38.52,22.87,0.59,-4.22,23.82,4.61,5.44,73.76,14,3,6,2,10,5,14,9,3,3,2.23,1.1,2.54,4.2,6.35,7.23,-2.59,3.47,-0.46,5.84,21,2,7,6,20,18,11,5,16,7,8.02,11.09,9.01,10.18,-1.53,8.07,7.52,-5.64,4.83,-1.25,3,20,6,20,5,3,21,2,1,17,34.42,5.98,36.12,16.43,2.39,-8.75,39.93,6.46,2.48,58.08,4.62,0.16,2,3.82,7.72,8.38,-2.48,2.57,0.27,5.29,6.07,13.86,8.29,12.73,-3.44,5.76,11.08,-9.04,-0.84,0.48,21,21,18,17,17,15,15,15,14,14,22,22,22,22,22,22,22,22,22,22,20,21,21,21,21,21,21,22,22,22
ICICI Pru Multi-Asset Fund(G),Hybrid : Multi Asset Allocation,1495,24.15,16.84,34.72,9.94,7.73,-2.19,28.15,12.5,-1.41,37.05,5,1,2,7,6,7,1,2,6,2,2.99,2.67,1.74,2.09,3.93,5.1,-0.68,2.02,-0.19,4.97,12,3,6,6,13,8,10,2,7,2,6.64,8.48,6.89,7.21,-0.14,7.17,6.47,-3.12,5.7,0.68,4,9,1,8,6,1,7,1,1,8,21.32,5.47,22.74,16.54,9.66,0.29,16,8.26,2.67,22.92,3.02,1.62,1.48,1.65,4.44,4.66,-0.75,0.87,0.1,3.1,4.96,8.51,4.09,7.59,-0.97,4.17,6.96,-6.15,0.81,1.86,11,10,10,7,7,7,7,7,7,7,24,22,20,17,17,17,17,14,14,14,10,10,10,10,10,11,12,14,17,17
UTI S&P BSE Sensex ETF,Equity : ETFs,33151,20.27,5.73,23.11,17.05,15.62,7.14,29.58,3.52,-,-,100,29,52,14,6,9,30,28,-,-,1.13,1.58,1.16,-0.65,7.84,4.95,-2.86,1.53,-2.33,2.91,108,56,105,114,89,110,74,95,108,83,2.09,9.94,2.06,10.37,-2.89,6.12,8.61,-8.91,0.7,-1.33,96,102,98,106,37,34,72,32,41,58,28.47,3.94,27.55,13.11,8.95,0.95,32.5,5.06,-4.48,36.67,2.72,0.73,2.68,1.58,8,7.04,-2.91,2.49,-0.98,3.83,5.13,12.17,5.33,12.52,-3.29,4.87,9.9,-9.47,-0.93,-0.47,122,93,72,61,53,47,43,37,-,-,149,147,145,141,141,141,138,136,134,129,84,93,103,103,117,122,129,129,138,141
CPSE ETF,Equity : ETFs,27621,75.62,27.95,46,-13.5,-3.88,-18.99,19.36,17.43,-14.28,-,2,4,7,59,51,47,43,1,23,-,8.58,-0.23,7.89,11.31,14.46,9.86,-0.71,11.87,0.11,7.82,5,115,8,1,1,22,2,5,27,8,19.82,24.86,20.75,11.67,4.31,9.08,5.49,-1.6,13.01,-2.68,5,1,4,65,5,18,89,10,1,70,28.47,3.94,27.55,13.11,8.95,0.95,32.5,5.06,-4.48,36.67,2.72,0.73,2.68,1.58,8,7.04,-2.91,2.49,-0.98,3.83,5.13,12.17,5.33,12.52,-3.29,4.87,9.9,-9.47,-0.93,-0.47,122,93,72,61,53,47,43,37,25,-,149,147,145,141,141,141,138,136,134,129,84,93,103,103,117,122,129,129,138,141
Mirae Asset Large Cap Fund-Reg(G),Equity : Large Cap,4457,18.45,1.6,27.74,13.7,12.73,-0.64,38.58,8.09,4.25,52.86,33,19,14,20,10,10,2,4,6,3,2.37,1.01,0.38,0.26,5.93,5.63,-3.43,1.5,-0.86,2.8,22,29,34,29,32,30,33,27,11,23,1.65,8.05,3.44,10.72,-4.29,3.94,8.54,-8.3,-1.79,-0.7,35,35,23,28,21,23,27,11,19,17,24.08,2.41,25.87,14.65,10.95,-2.17,31.3,4.13,1.2,42.67,2.75,1.66,2.35,1.6,7.39,6.47,-2.72,1.91,-1.1,3.4,5.75,11.23,4.22,11.7,-4.18,4.22,9.98,-9.32,-1.53,-0.63,36,34,33,31,30,30,28,28,28,28,37,37,36,36,36,36,36,36,36,36,34,34,34,34,35,36,36,36,36,36
Axis ELSS Tax Saver Fund-Reg(G),Equity : Tax Saving (ELSS),8408,21.96,-11.97,24.54,20.52,14.83,2.67,37.44,-0.69,6.7,66.18,50,55,49,14,3,2,22,32,6,2,1.62,5.19,2.57,-1.12,5.11,6.88,-1.9,2.4,-1.78,0.71,56,1,13,58,52,37,12,13,56,60,6.69,10.21,1.3,16.86,-6.51,-1.65,13.46,-14.94,-7.26,-2.15,11,41,60,8,56,51,17,55,54,51,29.57,2.78,38.57,18.02,6.97,-8.89,38.12,5.24,3.16,50.41,4.62,0.21,1.46,2.04,6.35,7.34,-2.41,1.84,0.69,3.76,3.77,11.41,6.4,13.43,-3.73,2.55,12.16,-9.32,-1.44,1.66,58,55,55,55,52,45,40,36,29,27,60,60,60,60,60,60,60,60,60,60,55,55,55,55,55,58,59,60,60,60
Mirae Asset Large & Midcap Fund-Reg(G),Equity : Large & Mid Cap,9767,29.34,-1.45,39.13,22.4,14.72,-5.42,49.01,12.17,14.08,84.62,15,18,11,5,2,10,2,3,2,2,4.04,-0.48,1.18,2.26,7.15,7.28,-3.57,1.79,1.46,4.69,18,27,22,14,8,20,23,14,9,9,2.97,10.84,8.11,12.89,-4.39,3.2,8.27,-8.92,-3.15,0.62,22,17,8,16,18,12,26,10,16,19,29.97,1.67,37.71,16.05,8.72,-6.96,38.13,6.54,4.76,51.58,4.68,0.95,1.9,2.52,6.49,7.94,-2.97,1.73,0.98,4.16,5.41,11.54,7,13.56,-4.1,2.75,12.11,-9.73,-2.29,1.4,26,26,26,25,21,20,20,20,18,18,29,29,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27
ICICI Pru Equity & Debt Fund(G),Hybrid : Equity Oriented,1482,28.25,11.7,41.7,8.95,9.33,-1.91,24.78,13.66,2.1,45.56,3,2,3,41,18,25,12,2,21,7,2.36,2.26,2.86,3.45,5.55,5.58,-1.66,3.21,-0.01,5.18,22,2,3,4,10,9,33,2,31,3,8.8,9.59,8.54,9.03,-1.11,5.08,7.03,-5.01,4.54,0.7,2,8,3,20,21,4,26,27,1,20,17.08,2.69,19.36,11.92,7.58,-1.41,20.48,6.33,3.95,34.33,2.21,0.77,1.29,1.41,3.94,3.95,-1.34,1.15,0.14,2.46,3.51,6.59,3.79,7.48,-1.59,2.68,6.29,-5.35,-0.54,0.42,55,55,53,52,47,38,36,33,29,24,56,56,56,56,56,56,56,55,55,55,53,55,55,55,55,55,55,55,56,56
Axis Bluechip Fund-Reg(G),Equity : Large Cap,8250,17.45,-5.66,20.64,19.72,18.57,6.54,38.03,-3.62,-1.24,40.85,35,34,28,4,1,1,4,27,20,16,0.58,4.05,2.58,-0.06,7.12,5.18,-2.17,1.68,-2.14,2.19,37,1,16,32,22,35,5,26,35,34,6.67,10.23,1.68,10.4,-5.08,0.97,10.78,-12.82,-3.26,-1.17,12,25,35,31,31,34,8,34,27,25,24.08,2.41,25.87,14.65,10.95,-2.17,31.3,4.13,1.2,42.67,2.75,1.66,2.35,1.6,7.39,6.47,-2.72,1.91,-1.1,3.4,5.75,11.23,4.22,11.7,-4.18,4.22,9.98,-9.32,-1.53,-0.63,36,34,33,31,30,30,28,28,28,28,37,37,36,36,36,36,36,36,36,36,34,34,34,34,35,36,36,36,36,36
SBI Focused Equity Fund-Reg(G),Equity : Multi Cap,2817,22.23,-8.49,42.98,14.54,16.06,-3.81,44.73,2.22,4.33,58.01,27,27,6,13,3,6,5,8,4,5,4.09,5.19,-1.14,0.08,3.36,4.95,-1.23,1.8,-0.95,4.92,23,2,37,36,37,36,1,16,33,14,4.08,7.14,5.79,13.91,-5.34,-0.31,11.5,-11.38,-7.1,5.67,24,35,24,14,24,25,18,23,28,2,29.6,1.66,37.08,17.21,9.49,-6.6,39.26,2.92,2.93,53.63,4.52,0.56,1.41,2.66,6.31,7.75,-2.58,1.69,1.06,4.41,4.76,11.53,7.31,13.47,-4.22,2.56,12.19,-9.8,-2.15,1.53,30,28,22,21,16,15,14,14,14,13,38,38,38,37,37,37,36,35,34,33,25,28,29,29,29,30,33,33,36,37
HDFC Top 100 Fund(G),Equity : Large Cap,1331,30.02,10.61,28.54,5.91,7.7,0.13,31.97,8.52,-6.09,46.52,3,2,11,30,23,6,12,3,28,8,1.85,1.67,1.5,1.6,8.39,6.82,-2.79,3.43,-1.63,4.15,30,18,29,15,9,13,19,2,24,8,4.85,12.55,5.96,11.44,-2.17,7.4,7.94,-6.37,1.91,-1.63,22,9,7,21,3,1,33,1,4,29,24.08,2.41,25.87,14.65,10.95,-2.17,31.3,4.13,1.2,42.67,2.75,1.66,2.35,1.6,7.39,6.47,-2.72,1.91,-1.1,3.4,5.75,11.23,4.22,11.7,-4.18,4.22,9.98,-9.32,-1.53,-0.63,36,34,33,31,30,30,28,28,28,28,37,37,36,36,36,36,36,36,36,36,34,34,34,34,35,36,36,36,36,36
