MF Code,schemecode,fund_house,returns_1month,returns_3month,returns_6month,returns_1year,index_name,returns_3year,returns_5year,returns_10year,ytd_returns,rank_ytd,rank_1month,rank_3month,rank_6month,rank_1year,rank_3year,rank_5year,rank_10year,s_name,classification,funds_num_ytd,funds_num_month1,funds_num_month3,funds_num_month6,funds_num_year1,funds_num_year3,funds_num_year5,funds_num_year10,ytd_avg,avg_month1,avg_month3,avg_month6,avg_year1,avg_year3,avg_year5,avg_year10,monthret_1,monthret_3,monthret_6,yrret_1,yrret_3,yrret_5,yrret_10,ytdret
HDFC Liquid Fund(G),1286,HDFC Mutual Fund,0.6,1.77,3.52,7.36,CRISIL Liquid Debt Index,6.07,5.18,6.28,5.74,14,23,18,22,16,19,20,20,HDFC Liquid Fund(G),Debt : Liquid,37,37,37,37,37,35,34,29,5.66,0.6,1.75,3.5,7.27,6.04,5.15,6.25,,,,,,,,
Kotak Flexicap Fund(G),7874,Kotak Mahindra Mutual Fund,0.0,-0.04,11.94,33.88,NIFTY 500 - TRI,15.47,18.98,15.45,21.35,34,28,44,42,32,20,17,10,Kotak Flexicap Fund(G),Equity : Flexi Cap,46,48,48,47,45,33,26,19,25.36,0.18,3.73,15.67,39.54,16.58,21.29,15.24,,,,,,,,
Kotak Equity Arbitrage Fund(G),1979,Kotak Mahindra Mutual Fund,0.48,1.64,3.54,7.77,Nifty 50 Arbitrage,6.3,5.46,6.05,6.23,1,6,7,1,1,2,1,1,Kotak Equity Arbitrage Fund(G),Hybrid : Arbitrage,26,27,26,26,25,24,22,14,5.87,0.45,1.59,3.37,7.31,5.8,5.03,5.84,0.2,1.14,2.93,7.16,6.14,5.0,,6.98
SBI BlueChip Fund-Reg(G),2711,SBI Mutual Fund,1.1,3.81,13.42,28.89,BSE 100 - TRI,13.99,18.86,14.29,18.57,28,2,15,17,31,18,15,10,SBI BlueChip Fund-Reg(G),Equity : Large Cap,36,38,37,37,36,34,31,28,21.62,-0.4,3.03,12.39,35.23,14.6,19.04,13.83,0.2,2.91,12.1,32.29,14.78,19.96,,24.97
Kotak Emerging Equity Fund(G),1977,Kotak Mahindra Mutual Fund,0.44,3.49,25.11,47.32,Nifty Midcap 150 - TRI,22.51,29.36,20.3,34.45,9,13,19,6,15,10,10,3,Kotak Emerging Equity Fund(G),Equity : Mid Cap,30,30,30,30,30,25,23,20,32.33,0.3,3.98,20.68,47.84,21.86,28.57,18.48,,,,,,,,
ICICI Pru Value Discovery Fund(G),1492,ICICI Prudential Mutual Fund,-0.71,5.04,14.65,40.88,NIFTY 500 - TRI,22.75,27.61,16.71,26.44,12,14,5,13,14,5,3,9,ICICI Pru Value Discovery Fund(G),Equity : Value / Contra,22,22,22,22,22,20,17,14,26.67,-0.62,3.21,15.27,44.16,20.65,24.94,16.59,,,,,,,,
UTI BSE Sensex ETF,33151,UTI Mutual Fund,-0.38,2.35,9.66,24.93,BSE SENSEX - TRI,12.06,17.88,,13.74,115,107,99,114,112,59,47,,UTI BSE Sensex ETF,Equity : ETFs,141,163,155,149,139,84,60,24,22.93,0.57,3.63,13.81,37.87,15.94,20.19,13.29,-0.17,2.12,9.43,23.96,12.02,17.76,,17.72
ICICI Pru Liquid Fund(G),1659,ICICI Prudential Mutual Fund,0.6,1.77,3.54,7.39,CRISIL Liquid Debt Index,6.08,5.23,6.35,5.76,6,15,12,12,7,15,12,11,ICICI Pru Liquid Fund(G),Debt : Liquid,37,37,37,37,37,35,34,29,5.66,0.6,1.75,3.5,7.27,6.04,5.15,6.25,,,,,,,,
CPSE ETF,27621,Nippon India Mutual Fund,0.24,-2.3,15.67,84.98,Nifty CPSE,46.39,33.4,14.87,46.74,1,52,147,64,1,1,1,6,CPSE ETF,Equity : ETFs,141,163,155,149,139,84,60,24,22.93,0.57,3.63,13.81,37.87,15.94,20.19,13.29,1.74,-3.93,14.98,81.22,41.29,29.73,,55.78
Aditya Birla SL Liquid Fund(G),293,Aditya Birla Sun Life Mutual Fund,0.6,1.77,3.55,7.38,Nifty Liquid Fund Index,6.13,5.26,6.39,5.75,10,18,13,7,11,6,6,4,Aditya Birla SL Liquid Fund(G),Debt : Liquid,37,37,37,37,37,35,34,29,5.66,0.6,1.75,3.5,7.27,6.04,5.15,6.25,,,,,,,,
Mirae Asset Large Cap Fund-Reg(G),4457,Mirae Asset Mutual Fund,-0.61,3.37,13.37,27.56,NIFTY 100 - TRI,11.36,17.62,14.61,17.82,33,26,18,18,34,31,24,7,Mirae Asset Large Cap Fund-Reg(G),Equity : Large Cap,36,38,37,37,36,34,31,28,21.62,-0.4,3.03,12.39,35.23,14.6,19.04,13.83,,,,,,,,
ICICI Pru Equity & Debt Fund(G),1482,ICICI Prudential Mutual Fund,0.74,4.31,11.26,35.78,CRISIL Hybrid 35+65 - Aggressive Index,20.7,24.23,16.5,23.16,7,12,5,21,4,2,4,1,ICICI Pru Equity & Debt Fund(G),Hybrid : Equity Oriented,55,55,55,55,55,52,51,24,15.61,0.2,2.78,9.65,23.31,11.24,14.09,11.42,,,,,,,,
Mirae Asset Large & Midcap Fund-Reg(G),9767,Mirae Asset Mutual Fund,-1.14,2.21,12.81,33.94,NIFTY LargeMidcap 250 - TRI,14.62,23.86,19.88,20.91,26,27,25,26,22,23,10,2,Mirae Asset Large & Midcap Fund-Reg(G),Equity : Large & Mid Cap,27,29,29,29,26,26,22,18,28.05,0.16,4.01,16.95,42.73,18.5,23.46,16.28,,,,,,,,
Nippon India Multi Cap Fund(G),2466,Nippon India Mutual Fund,0.65,3.25,18.73,45.58,Nifty500 Multicap 50:25:25 - TRI,26.66,27.41,16.43,32.07,4,15,27,11,7,1,3,3,Nippon India Multi Cap Fund(G),Equity : Multi Cap,36,40,38,37,35,24,19,13,26.34,0.24,4.64,16.63,40.21,17.26,22.55,15.57,,,,,,,,
Axis ELSS Tax Saver Fund-Reg(G),8408,Axis Mutual Fund,1.23,6.19,12.5,34.52,NIFTY 500 - TRI,8.48,16.25,14.33,23.68,31,10,6,46,38,54,52,13,Axis ELSS Tax Saver Fund-Reg(G),Equity : Tax Saving (ELSS),59,59,59,59,59,54,53,27,24.45,0.04,3.69,15.56,38.3,18.02,23.52,15.05,,,,,,,,
HDFC Top 100 Fund(G),1331,HDFC Mutual Fund,-0.36,2.94,10.65,33.44,NIFTY 100 - TRI,18.08,20.07,13.77,18.41,30,22,22,25,26,6,6,16,HDFC Top 100 Fund(G),Equity : Large Cap,36,38,37,37,36,34,31,28,21.62,-0.4,3.03,12.39,35.23,14.6,19.04,13.83,,,,,,,,
SBI Focused Equity Fund-Reg(G),2817,SBI Mutual Fund,1.26,1.42,13.46,26.98,BSE 500 - TRI,11.4,18.89,15.1,19.73,33,10,36,34,33,22,17,8,SBI Focused Equity Fund-Reg(G),Equity : Multi Cap,36,40,38,37,35,24,19,13,26.34,0.24,4.64,16.63,40.21,17.26,22.55,15.57,0.18,2.65,13.42,36.48,16.36,22.18,,28.24
Axis Bluechip Fund-Reg(G),8250,Axis Mutual Fund,-0.18,3.92,9.81,30.04,BSE 100 - TRI,8.75,14.9,13.32,19.17,25,19,14,30,30,34,31,18,Axis Bluechip Fund-Reg(G),Equity : Large Cap,36,38,37,37,36,34,31,28,21.62,-0.4,3.03,12.39,35.23,14.6,19.04,13.83,0.2,2.91,12.1,32.29,14.78,19.96,,24.97
Nippon India Growth Fund(G),2573,Nippon India Mutual Fund,1.38,5.46,23.14,51.95,Nifty Midcap 150 - TRI,25.29,31.66,19.53,30.93,18,6,9,10,9,4,4,6,Nippon India Growth Fund(G),Equity : Mid Cap,30,30,30,30,30,25,23,20,32.33,0.3,3.98,20.68,47.84,21.86,28.57,18.48,,,,,,,,
SBI Small Cap Fund-Reg(G),7885,SBI Mutual Fund,-0.37,3.29,18.83,38.69,BSE 250 Small Cap - TRI,21.37,29.57,22.73,30.45,11,20,21,20,17,15,17,2,SBI Small Cap Fund-Reg(G),Equity : Small Cap,27,28,28,27,24,23,19,13,29.75,-0.09,5.25,21.29,44.21,22.76,33.12,19.68,0.13,4.09,19.63,46.88,23.68,32.76,,38.11
Nippon India ETF Nifty 50 BeES,2272,Nippon India Mutual Fund,-0.18,3.02,10.72,28.37,NIFTY 50 - TRI,13.03,18.57,13.49,15.96,99,92,61,93,91,45,30,11,Nippon India ETF Nifty 50 BeES,Equity : ETFs,141,163,155,149,139,84,60,24,22.93,0.57,3.63,13.81,37.87,15.94,20.19,13.29,,,,,,,,
HDFC Small Cap Fund-Reg(G),4455,HDFC Mutual Fund,-1.69,3.14,13.49,33.46,BSE 250 Small Cap - TRI,22.55,30.23,19.81,22.29,26,25,22,26,23,11,16,8,HDFC Small Cap Fund-Reg(G),Equity : Small Cap,27,28,28,27,24,23,19,13,29.75,-0.09,5.25,21.29,44.21,22.76,33.12,19.68,0.13,4.09,19.63,46.88,23.68,32.76,,38.11
SBI Balanced Advantage Fund-Reg(G),32097,SBI Mutual Fund,0.06,2.13,6.82,22.69,NIFTY 50 Hybrid Composite Debt 50:50 Index,13.32,,,15.02,13,19,23,27,16,3,,,SBI Balanced Advantage Fund-Reg(G),Hybrid : Dynamic Asset Allocation,30,33,32,32,27,21,18,10,15.44,0.07,2.6,8.95,24.46,12.08,13.81,10.68,,,,,,,,
Kotak Liquid Fund-Reg(G),2060,Kotak Mahindra Mutual Fund,0.6,1.76,3.52,7.34,Nifty Liquid Fund Index,6.05,5.18,6.3,5.72,19,16,21,21,22,24,21,17,Kotak Liquid Fund-Reg(G),Debt : Liquid,37,37,37,37,37,35,34,29,5.66,0.6,1.75,3.5,7.27,6.04,5.15,6.25,,,,,,,,
Axis Midcap Fund-Reg(G),13049,Axis Mutual Fund,0.78,3.9,22.85,46.45,BSE 150 MidCap - TRI,17.37,25.06,18.11,33.54,12,10,14,12,17,23,21,10,Axis Midcap Fund-Reg(G),Equity : Mid Cap,30,30,30,30,30,25,23,20,32.33,0.3,3.98,20.68,47.84,21.86,28.57,18.48,0.08,3.18,20.12,49.41,23.77,32.26,,40.93
HDFC Corp Bond Fund(G),8241,HDFC Mutual Fund,1.01,2.61,4.6,8.91,NIFTY Corporate Bond Index,6.09,6.97,7.81,7.18,1,2,3,2,3,4,3,3,HDFC Corp Bond Fund(G),Debt : Corporate Bond,21,21,21,21,21,19,18,12,6.63,0.92,2.45,4.33,8.4,5.68,6.48,7.27,,,,,,,,
SBI Arbitrage Opportunities Fund-Reg(G),2709,SBI Mutual Fund,0.47,1.63,3.45,7.51,Nifty 50 Arbitrage,6.22,5.25,5.84,6.01,10,10,8,8,9,3,7,9,SBI Arbitrage Opportunities Fund-Reg(G),Hybrid : Arbitrage,26,27,26,26,25,24,22,14,5.87,0.45,1.59,3.37,7.31,5.8,5.03,5.84,0.2,1.14,2.93,7.16,6.14,5.0,,6.98
SBI Large & Midcap Fund-Reg(G),2801,SBI Mutual Fund,-0.28,3.36,15.31,35.79,NIFTY LargeMidcap 250 - TRI,18.73,23.6,16.43,22.34,22,15,19,19,20,12,12,8,SBI Large & Midcap Fund-Reg(G),Equity : Large & Mid Cap,27,29,29,29,26,26,22,18,28.05,0.16,4.01,16.95,42.73,18.5,23.46,16.28,,,,,,,,
SBI Long Term Equity Fund-Reg(G),2815,SBI Mutual Fund,0.06,3.37,15.4,52.23,BSE 500 - TRI,25.54,27.12,16.04,33.26,6,27,39,31,4,2,14,7,SBI Long Term Equity Fund-Reg(G),Equity : Tax Saving (ELSS),59,59,59,59,59,54,53,27,24.45,0.04,3.69,15.56,38.3,18.02,23.52,15.05,0.18,2.65,13.42,36.48,16.36,22.18,,28.24
UTI Flexi Cap Fund-Reg(G),3461,UTI Mutual Fund,0.33,8.15,19.54,28.53,NIFTY 500 - TRI,7.06,18.95,13.77,19.41,38,22,4,9,43,33,18,15,UTI Flexi Cap Fund-Reg(G),Equity : Flexi Cap,46,48,48,47,45,33,26,19,25.36,0.18,3.73,15.67,39.54,16.58,21.29,15.24,,,,,,,,
ICICI Pru Corp Bond Fund(G),7925,ICICI Prudential Mutual Fund,0.81,2.18,4.13,8.22,NIFTY Corporate Bond Index,6.39,6.99,7.62,6.48,15,20,21,17,14,2,2,5,ICICI Pru Corp Bond Fund(G),Debt : Corporate Bond,21,21,21,21,21,19,18,12,6.63,0.92,2.45,4.33,8.4,5.68,6.48,7.27,,,,,,,,
Quant Small Cap Fund(G),876,Quant Mutual Fund,-2.44,1.08,11.72,50.66,Nifty Smallcap 250 - TRI,28.12,48.55,21.41,30.22,12,26,27,27,6,2,1,3,Quant Small Cap Fund(G),Equity : Small Cap,27,28,28,27,24,23,19,13,29.75,-0.09,5.25,21.29,44.21,22.76,33.12,19.68,,,,,,,,
Mirae Asset ELSS Tax Saver Fund-Reg(G),33536,Mirae Asset Mutual Fund,-0.82,3.42,13.74,35.13,NIFTY 500 - TRI,14.9,23.0,,21.86,39,46,38,38,36,43,24,,Mirae Asset ELSS Tax Saver Fund-Reg(G),Equity : Tax Saving (ELSS),59,59,59,59,59,54,53,27,24.45,0.04,3.69,15.56,38.3,18.02,23.52,15.05,,,,,,,,
Kotak Equity Opp Fund(G),2069,Kotak Mahindra Mutual Fund,0.03,1.86,14.79,40.41,NIFTY LargeMidcap 250 - TRI,20.29,24.28,17.14,28.35,14,11,27,22,16,8,7,4,Kotak Equity Opp Fund(G),Equity : Large & Mid Cap,27,29,29,29,26,26,22,18,28.05,0.16,4.01,16.95,42.73,18.5,23.46,16.28,,,,,,,,
Kotak Money Market Fund(G),1999,Kotak Mahindra Mutual Fund,0.66,1.85,3.66,7.67,CRISIL Money Market Index,6.35,5.8,6.8,6.09,5,10,8,6,7,4,8,6,Kotak Money Market Fund(G),Debt : Money Market,22,22,22,22,22,19,16,13,5.85,0.65,1.8,3.54,7.38,6.06,5.65,6.64,,,,,,,,
Canara Rob Emerg Equities Fund-Reg(G),523,Canara Robeco Mutual Fund,2.12,5.53,19.88,43.44,NIFTY LargeMidcap 250 - TRI,16.09,24.0,18.27,29.76,9,3,4,7,12,19,8,3,Canara Rob Emerg Equities Fund-Reg(G),Equity : Large & Mid Cap,27,29,29,29,26,26,22,18,28.05,0.16,4.01,16.95,42.73,18.5,23.46,16.28,,,,,,,,
Axis Liquid Fund-Reg(G),8029,Axis Mutual Fund,0.61,1.77,3.54,7.41,Nifty Liquid Fund Index,6.15,5.28,6.39,5.77,3,8,14,15,3,2,4,3,Axis Liquid Fund-Reg(G),Debt : Liquid,37,37,37,37,37,35,34,29,5.66,0.6,1.75,3.5,7.27,6.04,5.15,6.25,,,,,,,,
SBI Savings Fund-Reg(G),2774,SBI Mutual Fund,0.63,1.75,3.48,7.21,CRISIL Money Market Index,5.86,5.45,6.54,5.74,17,20,19,17,17,14,13,10,SBI Savings Fund-Reg(G),Debt : Money Market,22,22,22,22,22,19,16,13,5.85,0.65,1.8,3.54,7.38,6.06,5.65,6.64,,,,,,,,
HDFC Hybrid Equity Fund(G),1311,HDFC Mutual Fund,-0.97,1.04,8.7,21.06,NIFTY 50 Hybrid Composite Debt 65:35 Index,13.17,17.13,11.08,14.08,32,51,51,32,32,14,14,14,HDFC Hybrid Equity Fund(G),Hybrid : Equity Oriented,55,55,55,55,55,52,51,24,15.61,0.2,2.78,9.65,23.31,11.24,14.09,11.42,,,,,,,,
ICICI Pru India Opp Fund(G),42140,ICICI Prudential Mutual Fund,-0.76,5.83,15.37,41.83,NIFTY 500 - TRI,25.42,29.78,,27.37,26,59,19,32,27,7,2,,ICICI Pru India Opp Fund(G),Equity : Thematic,56,76,70,60,52,34,16,9,28.14,0.27,3.26,15.94,44.22,18.92,24.46,15.38,,,,,,,,
Axis Small Cap Fund-Reg(G),21651,Axis Mutual Fund,0.55,5.89,20.22,38.43,Nifty Smallcap 250 - TRI,20.74,29.12,20.4,26.56,20,9,11,18,18,18,18,6,Axis Small Cap Fund-Reg(G),Equity : Small Cap,27,28,28,27,24,23,19,13,29.75,-0.09,5.25,21.29,44.21,22.76,33.12,19.68,,,,,,,,
Tata Money Market Fund-Reg(G),3267,Tata Mutual Fund,0.65,1.85,3.64,7.69,CRISIL Money Market Index,6.34,5.97,6.08,6.09,6,14,10,8,5,5,2,13,Tata Money Market Fund-Reg(G),Debt : Money Market,22,22,22,22,22,19,16,13,5.85,0.65,1.8,3.54,7.38,6.06,5.65,6.64,,,,,,,,
ICICI Pru Money Market Fund(G),1690,ICICI Prudential Mutual Fund,0.67,1.86,3.67,7.69,Nifty Money Market Index,6.31,5.89,6.82,6.1,4,8,6,5,6,7,7,5,ICICI Pru Money Market Fund(G),Debt : Money Market,22,22,22,22,22,19,16,13,5.85,0.65,1.8,3.54,7.38,6.06,5.65,6.64,,,,,,,,
Aditya Birla SL Money Manager Fund(G),394,Aditya Birla Sun Life Mutual Fund,0.67,1.87,3.68,7.73,CRISIL Money Market Index,6.4,6.04,6.96,6.14,1,5,5,2,1,3,1,1,Aditya Birla SL Money Manager Fund(G),Debt : Money Market,22,22,22,22,22,19,16,13,5.85,0.65,1.8,3.54,7.38,6.06,5.65,6.64,,,,,,,,
HDFC Large and Mid Cap Fund-Reg(G),2271,HDFC Mutual Fund,-0.84,3.09,15.33,41.14,NIFTY LargeMidcap 250 - TRI,21.87,26.26,15.16,24.95,17,23,20,18,15,5,2,14,HDFC Large and Mid Cap Fund-Reg(G),Equity : Large & Mid Cap,27,29,29,29,26,26,22,18,28.05,0.16,4.01,16.95,42.73,18.5,23.46,16.28,,,,,,,,
Aditya Birla SL Flexi Cap Fund(G),445,Aditya Birla Sun Life Mutual Fund,0.93,5.88,16.02,37.88,NIFTY 500 - TRI,14.71,20.93,15.56,25.16,23,13,7,22,24,24,13,8,Aditya Birla SL Flexi Cap Fund(G),Equity : Flexi Cap,46,48,48,47,45,33,26,19,25.36,0.18,3.73,15.67,39.54,16.58,21.29,15.24,,,,,,,,
SBI Flexicap Fund-Reg(G),2799,SBI Mutual Fund,0.3,3.18,12.27,30.08,BSE 500 - TRI,12.94,18.04,14.88,18.91,41,23,31,39,40,29,20,11,SBI Flexicap Fund-Reg(G),Equity : Flexi Cap,46,48,48,47,45,33,26,19,25.36,0.18,3.73,15.67,39.54,16.58,21.29,15.24,0.18,2.65,13.42,36.48,16.36,22.18,,28.24
ICICI Pru Asset Allocator Fund(FOF)(G),1704,ICICI Prudential Mutual Fund,0.94,3.23,8.43,22.69,CRISIL Hybrid 50+50 - Moderate Index,13.36,15.04,12.5,14.49,32,26,17,31,31,18,14,8,ICICI Pru Asset Allocator Fund(FOF)(G),FoFs : Domestic,53,60,57,56,53,39,25,22,17.05,1.48,2.31,9.42,26.03,12.83,15.04,11.04,,,,,,,,
Aditya Birla SL Corp Bond Fund(G),453,Aditya Birla Sun Life Mutual Fund,0.97,2.57,4.64,9.1,NIFTY Corporate Bond Index,6.35,7.18,7.91,7.07,2,7,5,1,1,3,1,1,Aditya Birla SL Corp Bond Fund(G),Debt : Corporate Bond,21,21,21,21,21,19,18,12,6.63,0.92,2.45,4.33,8.4,5.68,6.48,7.27,,,,,,,,
SBI Magnum Midcap Fund-Reg(G),2789,SBI Mutual Fund,-0.32,3.31,15.46,34.98,Nifty Midcap 150 - TRI,21.09,29.56,17.71,24.6,28,22,22,28,29,14,9,13,SBI Magnum Midcap Fund-Reg(G),Equity : Mid Cap,30,30,30,30,30,25,23,20,32.33,0.3,3.98,20.68,47.84,21.86,28.57,18.48,,,,,,,,
UTI Liquid Fund-Reg(G),3590,UTI Mutual Fund,0.61,1.77,3.54,7.37,Nifty Liquid Fund Index,6.12,5.24,6.36,5.74,17,12,15,13,15,8,10,8,UTI Liquid Fund-Reg(G),Debt : Liquid,37,37,37,37,37,35,34,29,5.66,0.6,1.75,3.5,7.27,6.04,5.15,6.25,,,,,,,,
ICICI Pru Savings Fund(G),1500,ICICI Prudential Mutual Fund,0.7,1.99,3.87,7.96,NIFTY Low Duration Debt Index,6.23,6.51,7.37,6.36,1,8,3,1,1,1,3,1,ICICI Pru Savings Fund(G),Debt : Low Duration,20,20,20,20,20,20,20,18,5.89,0.7,1.89,3.64,7.39,5.8,5.95,6.55,,,,,,,,
Bharat 22 ETF,38252,ICICI Prudential Mutual Fund,0.02,-0.71,9.52,52.95,BSE Bharat 22 Index - TRI,35.79,27.71,,26.85,49,70,124,123,30,4,4,,Bharat 22 ETF,Equity : ETFs,141,163,155,149,139,84,60,24,22.93,0.57,3.63,13.81,37.87,15.94,20.19,13.29,1.36,-1.17,,,,,,18.25
UTI Nifty 50 Index Fund-Reg(G),3641,UTI Mutual Fund,-0.2,2.96,10.55,27.9,NIFTY 50 - TRI,12.67,18.24,13.23,15.64,78,65,37,78,73,25,10,3,UTI Nifty 50 Index Fund-Reg(G),Equity : Index Funds,105,140,128,115,101,47,27,18,25.14,-0.14,2.76,14.47,42.08,15.68,19.68,12.99,,,,,,,,
DSP Midcap Fund-Reg(G),735,DSP Mutual Fund,-0.15,4.2,24.07,43.41,Nifty Midcap 150 - TRI,16.36,23.37,17.39,26.75,25,19,12,8,22,24,23,15,DSP Midcap Fund-Reg(G),Equity : Mid Cap,30,30,30,30,30,25,23,20,32.33,0.3,3.98,20.68,47.84,21.86,28.57,18.48,,,,,,,,
SBI Corp Bond Fund-Reg(G),40450,SBI Mutual Fund,0.96,2.46,4.3,8.22,NIFTY Corporate Bond Index,5.64,6.3,,6.5,14,9,12,13,15,9,12,,SBI Corp Bond Fund-Reg(G),Debt : Corporate Bond,21,21,21,21,21,19,18,12,6.63,0.92,2.45,4.33,8.4,5.68,6.48,7.27,,,,,,,,
ICICI Pru Short Term Fund(G),1682,ICICI Prudential Mutual Fund,0.74,2.15,4.07,8.26,Nifty Short Duration Debt Index,6.3,6.96,7.62,6.34,11,22,22,15,11,2,3,1,ICICI Pru Short Term Fund(G),Debt : Short Duration,25,26,26,26,25,23,21,19,6.01,0.78,2.17,3.93,7.81,5.84,6.15,6.8,,,,,,,,
HDFC Index Fund-NIFTY 50 Plan(G)(Post Addendum),12633,HDFC Mutual Fund,-0.21,2.92,10.49,27.89,NIFTY 50 - TRI,12.57,18.05,13.1,15.63,79,69,41,82,75,27,12,5,HDFC Index Fund-NIFTY 50 Plan(G)(Post Addendum),Equity : Index Funds,105,140,128,115,101,47,27,18,25.14,-0.14,2.76,14.47,42.08,15.68,19.68,12.99,,,,,,,,
BHARAT Bond ETF - April 2030,44421,Edelweiss Mutual Fund,1.15,3.03,4.99,9.91,NIFTY BHARAT Bond Index - April 2030,6.52,,,7.77,8,4,11,10,9,2,,,BHARAT Bond ETF - April 2030,Debt : ETFs,22,30,29,26,19,14,6,1,6.31,0.68,2.37,4.36,8.79,5.64,4.96,4.92,,,,,,,,
Motilal Oswal Midcap Fund-Reg(G),22533,Motilal Oswal Mutual Fund,3.39,11.47,32.05,71.13,Nifty Midcap 150 - TRI,35.11,33.76,21.62,51.51,1,2,1,1,1,1,2,1,Motilal Oswal Midcap Fund-Reg(G),Equity : Mid Cap,30,30,30,30,30,25,23,20,32.33,0.3,3.98,20.68,47.84,21.86,28.57,18.48,,,,,,,,
Invesco India Contra Fund(G),2169,Invesco Mutual Fund,1.13,8.46,22.33,50.76,BSE 500 - TRI,21.14,24.93,17.76,34.88,1,2,1,2,3,10,8,4,Invesco India Contra Fund(G),Equity : Value / Contra,22,22,22,22,22,20,17,14,26.67,-0.62,3.21,15.27,44.16,20.65,24.94,16.59,0.18,2.65,13.42,36.48,16.36,22.18,,28.24
