s_name,classification,schemecode,return_year1,return_year2,return_year3,return_year4,return_year5,return_year6,return_year7,return_year8,return_year9,return_year10,rank_year1,rank_year2,rank_year3,rank_year4,rank_year5,rank_year6,rank_year7,rank_year8,rank_year9,rank_year10,return_month1,return_month2,return_month3,return_month4,return_month5,return_month6,return_month7,return_month8,return_month9,return_month10,rank_month1,rank_month2,rank_month3,rank_month4,rank_month5,rank_month6,rank_month7,rank_month8,rank_month9,rank_month10,return_quarter1,return_quarter2,return_quarter3,return_quarter4,return_quarter5,return_quarter6,return_quarter7,return_quarter8,return_quarter9,return_quarter10,rank_quarter1,rank_quarter2,rank_quarter3,rank_quarter4,rank_quarter5,rank_quarter6,rank_quarter7,rank_quarter8,rank_quarter9,rank_quarter10,avg_year1,avg_year2,avg_year3,avg_year4,avg_year5,avg_year6,avg_year7,avg_year8,avg_year9,avg_year10,avg_month1,avg_month2,avg_month3,avg_month4,avg_month5,avg_month6,avg_month7,avg_month8,avg_month9,avg_month10,avg_quarter1,avg_quarter2,avg_quarter3,avg_quarter4,avg_quarter5,avg_quarter6,avg_quarter7,avg_quarter8,avg_quarter9,avg_quarter10,num_funds_year1,num_funds_year2,num_funds_year3,num_funds_year4,num_funds_year5,num_funds_year6,num_funds_year7,num_funds_year8,num_funds_year9,num_funds_year10,num_funds_month1,num_funds_month2,num_funds_month3,num_funds_month4,num_funds_month5,num_funds_month6,num_funds_month7,num_funds_month8,num_funds_month9,num_funds_month10,num_funds_quater10,num_funds_quater9,num_funds_quater8,num_funds_quater7,num_funds_quater6,num_funds_quater5,num_funds_quater4,num_funds_quater3,num_funds_quater2,num_funds_quater1
ICICI Pru Balanced Advantage Fund(G),Hybrid : Dynamic Asset Allocation,1470,16.52,7.9,15.14,11.71,10.79,2.44,19.01,7.35,6.7,29.04,19,3,9,11,3,5,6,3,1,5,1.41,1.35,3.16,3.26,0.26,0.96,1.45,1.93,1.2,3.46,13,10,9,27,25,30,3,8,14,26,6.03,4.53,4.64,6.69,3.81,5.88,-0.64,2.78,5.11,-1.25,7,29,8,18,10,24,6,12,16,1,18.6,3.87,13.88,12.21,7.7,1.12,20.1,5.49,3.55,34.53,1.14,1.15,2.9,3.78,0.63,2.06,0.73,1.54,1.7,4.64,5.26,6.58,4.04,7.63,4.16,7.8,-1.48,2.64,6.26,-4.74,24,22,19,19,16,14,12,11,11,8,33,32,32,32,32,32,31,30,30,28,22,22,24,24,25,26,27,30,32,32
Nippon India Small Cap Fund(G),Equity : Small Cap,12758,48.92,6.54,74.34,29.24,-2.52,-16.69,62.97,5.56,15.11,97.6,5,5,3,9,10,6,3,8,3,4,1.15,0.02,6.08,8.61,1.27,9.26,-0.92,-0.68,3.62,5.65,24,23,4,16,9,6,6,13,14,5,7.32,20.16,1.96,12.93,12.54,19.86,-2.24,2.66,16.11,-8.48,21,7,10,7,7,3,7,5,7,4,41.08,1.3,62.64,30.35,-0.96,-16.72,49.29,6.2,10.26,76.99,2.09,1.84,4.71,9.01,0.57,8.04,-1.98,-0.79,4.25,4.34,8.87,18.45,1.38,11.85,11.12,17.15,-3.19,0.84,14.98,-9.56,24,23,22,19,17,14,13,13,13,11,28,28,28,27,27,27,27,27,27,26,23,23,23,24,24,24,24,27,27,28
HDFC Liquid Fund(G),Debt : Liquid,1286,6.95,4.77,3.21,4.11,6.52,7.23,6.53,7.59,8.35,9.1,23,20,26,20,17,25,26,21,13,12,0.58,0.57,0.6,0.56,0.59,0.62,0.65,0.59,0.6,0.6,21,16,16,23,23,11,2,4,24,21,1.77,1.78,1.86,1.73,1.69,1.7,1.66,1.59,1.26,0.97,17,18,5,29,22,16,16,17,23,21,6.92,4.76,3.23,4.03,6.47,6.91,6.62,7.57,8.3,9.07,0.58,0.57,0.59,0.56,0.59,0.6,0.63,0.58,0.59,0.6,1.75,1.76,1.81,1.73,1.68,1.68,1.64,1.58,1.26,0.98,35,35,34,34,32,30,30,29,29,29,37,37,37,37,37,37,37,37,37,37,35,35,35,35,36,36,37,37,37,37
Kotak Equity Arbitrage Fund(G),Hybrid : Arbitrage,1979,7.38,4.53,3.96,4.33,6.07,6.32,5.84,6.65,7.5,8.99,2,3,2,7,9,2,4,5,10,1,0.49,0.55,0.6,0.67,0.59,0.72,0.63,0.62,0.87,0.62,17,17,6,2,6,1,8,1,2,4,1.64,1.99,2.14,1.66,1.96,1.85,1.71,1.45,0.9,1.15,11,1,2,1,2,2,4,4,5,3,6.94,3.96,3.44,3.95,5.89,5.62,5.55,6.57,7.61,8.37,0.49,0.56,0.57,0.62,0.57,0.65,0.6,0.55,0.82,0.58,1.62,1.85,1.98,1.57,1.86,1.73,1.6,1.32,0.81,0.98,24,24,24,22,19,16,16,14,14,10,26,26,26,26,26,26,26,26,26,26,24,24,24,24,24,24,25,26,26,26
Kotak Flexicap Fund(G),Equity : Flexi Cap,7874,24.2,5,25.37,11.79,12.28,-0.88,34.31,9.44,2.96,57.87,33,8,24,19,8,5,13,3,7,4,1.93,-1.23,3.69,6.17,2.57,4.44,2.43,1.91,0.18,8.39,27,46,28,40,6,17,7,27,38,5,4.38,13.73,4.57,10.41,5.8,10.31,-3.61,5.63,10.55,-9.37,45,17,26,31,27,39,16,4,20,14,28.36,0.44,33.22,17.62,9.98,-5.03,36.15,4.25,1.92,52.71,2.04,1.57,4.07,7.29,1.06,4.13,0.86,2.01,1.89,6.8,7.86,12.89,4.95,11.62,6.35,12.91,-4.01,2.6,11.24,-10.26,39,33,29,26,26,23,21,21,19,18,48,48,48,48,48,47,47,47,46,46,35,35,39,39,41,43,45,46,47,48
SBI BlueChip Fund-Reg(G),Equity : Large Cap,2711,22.62,4.36,26.08,16.34,11.64,-4.11,30.23,4.83,7.99,47.86,22,9,19,13,14,22,17,13,2,6,3.18,0.69,4.04,6.51,1.52,1.41,3.21,0.21,-0.9,6.74,2,28,26,23,4,34,3,35,35,26,8.09,9.66,2.5,8.89,2.67,13.03,-2.95,4.89,9.29,-7.7,17,23,34,33,30,7,6,13,21,4,24.08,2.41,25.87,14.65,10.95,-2.17,31.3,4.13,1.2,42.67,1.96,1.32,4.37,6.61,0.4,2.75,1.66,2.35,1.6,7.39,7.8,9.98,5.75,11.23,4.22,11.7,-4.18,4.22,9.98,-9.32,36,34,33,31,30,30,28,28,28,28,38,37,37,37,37,37,37,36,36,36,34,34,35,36,36,36,36,36,37,37
Kotak Emerging Equity Fund(G),Equity : Mid Cap,1977,31.5,5.13,47.31,21.89,8.86,-11.72,43,10.36,8.42,87.32,27,6,10,15,4,10,9,4,9,2,2,0.92,4.69,9.48,5.23,7.34,-0.09,1.48,0.67,4.77,17,18,17,10,1,8,21,12,26,21,7.77,23.67,2.06,9.7,8.93,13.14,-2.73,1.02,15.2,-8.09,18,3,23,23,19,25,9,12,12,7,36.87,2.52,44.05,24.02,3.22,-11.45,42.34,4.33,8.82,71.5,2.22,1.05,4.61,8.74,2.53,6.33,0.25,1.23,3.21,5.51,8.06,18.54,4.75,11.82,10.1,15.84,-4.03,0.51,15.09,-9.11,30,25,24,23,22,21,20,20,20,19,30,30,30,30,30,30,30,30,30,30,25,25,27,30,30,30,30,30,30,30
ICICI Pru Value Discovery Fund(G),Equity : Value / Contra,1492,31.4,14.95,38.52,22.87,0.59,-4.22,23.82,4.61,5.44,73.76,14,3,6,2,10,5,14,9,3,3,1.54,2.13,6.97,6,-0.1,2.23,1.1,2.54,4.2,6.35,11,7,1,17,20,21,2,7,6,20,10.94,8.25,8.02,11.09,9.01,10.18,-1.53,8.07,7.52,-5.64,2,21,3,20,6,20,5,3,21,2,34.42,5.98,36.12,16.43,2.39,-8.75,39.93,6.46,2.48,58.08,1.24,1.39,5.12,6.9,1.29,4.62,0.16,2,3.82,7.72,7.91,13.29,6.07,13.86,8.29,12.73,-3.44,5.76,11.08,-9.04,21,21,18,17,17,15,15,15,14,14,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,22,22,22,22,22
ICICI Pru Multi-Asset Fund(G),Hybrid : Multi Asset Allocation,1495,24.15,16.84,34.72,9.94,7.73,-2.19,28.15,12.5,-1.41,37.05,5,1,2,7,6,7,1,2,6,2,2.49,1.23,2.96,3.43,0.5,2.99,2.67,1.74,2.09,3.93,6,13,6,14,21,12,3,6,6,13,6.82,7.06,6.64,8.48,6.89,7.21,-0.14,7.17,6.47,-3.12,6,17,4,9,1,8,6,1,7,1,21.32,5.47,22.74,16.54,9.66,0.29,16,8.26,2.67,22.92,1.89,1.3,2.35,3.54,1.06,3.02,1.62,1.48,1.65,4.44,5.64,7.8,4.96,8.51,4.09,7.59,-0.97,4.17,6.96,-6.15,11,10,10,7,7,7,7,7,7,7,25,25,25,24,24,24,22,20,17,17,10,10,10,11,12,14,17,17,24,25
UTI BSE Sensex ETF,Equity : ETFs,33151,20.27,5.73,23.11,17.05,15.62,7.14,29.58,3.52,-,-,100,29,52,14,6,9,30,28,-,-,2.35,0.95,3.51,7.06,-0.33,1.13,1.58,1.16,-0.65,7.84,60,83,116,46,104,108,56,105,114,89,6.94,7.91,2.09,9.94,2.06,10.37,-2.89,6.12,8.61,-8.91,106,102,96,102,98,106,37,34,72,32,28.47,3.94,27.55,13.11,8.95,0.95,32.5,5.06,-4.48,36.67,2.1,1.16,4.77,6.69,0.76,2.72,0.73,2.68,1.58,8,8.24,10.43,5.13,12.17,5.33,12.52,-3.29,4.87,9.9,-9.47,122,93,72,61,53,47,43,37,-,-,161,157,154,151,149,149,147,145,141,141,103,103,117,122,129,129,138,141,149,154
ICICI Pru Liquid Fund(G),Debt : Liquid,1659,6.98,4.76,3.23,4.27,6.6,7.4,6.64,7.66,8.33,9.12,12,23,23,9,13,16,18,9,17,8,0.58,0.58,0.61,0.57,0.6,0.62,0.65,0.58,0.61,0.61,17,12,6,9,11,4,5,17,4,6,1.78,1.8,1.85,1.74,1.69,1.7,1.67,1.58,1.26,0.97,12,4,7,20,21,15,10,24,22,25,6.92,4.76,3.23,4.03,6.47,6.91,6.62,7.57,8.3,9.07,0.58,0.57,0.59,0.56,0.59,0.6,0.63,0.58,0.59,0.6,1.75,1.76,1.81,1.73,1.68,1.68,1.64,1.58,1.26,0.98,35,35,34,34,32,30,30,29,29,29,37,37,37,37,37,37,37,37,37,37,35,35,35,35,36,36,37,37,37,37
CPSE ETF,Equity : ETFs,27621,75.62,27.95,46,-13.5,-3.88,-18.99,19.36,17.43,-14.28,-,2,4,7,59,51,47,43,1,23,-,-1.89,-0.83,10.35,3.31,5.33,8.58,-0.23,7.89,11.31,14.46,143,147,14,140,8,5,115,8,1,1,7.37,18.16,19.82,24.86,20.75,11.67,4.31,9.08,5.49,-1.6,95,8,5,1,4,65,5,18,89,10,28.47,3.94,27.55,13.11,8.95,0.95,32.5,5.06,-4.48,36.67,2.1,1.16,4.77,6.69,0.76,2.72,0.73,2.68,1.58,8,8.24,10.43,5.13,12.17,5.33,12.52,-3.29,4.87,9.9,-9.47,122,93,72,61,53,47,43,37,25,-,161,157,154,151,149,149,147,145,141,141,103,103,117,122,129,129,138,141,149,154
Aditya Birla SL Liquid Fund(G),Debt : Liquid,293,7.05,4.82,3.26,4.29,6.69,7.41,6.69,7.7,8.38,9.18,2,14,14,5,6,13,12,6,8,4,0.58,0.58,0.61,0.57,0.6,0.62,0.65,0.58,0.6,0.61,20,8,5,10,8,7,7,25,10,8,1.78,1.8,1.84,1.75,1.7,1.71,1.71,1.61,1.27,0.98,11,7,14,15,16,6,1,8,15,19,6.92,4.76,3.23,4.03,6.47,6.91,6.62,7.57,8.3,9.07,0.58,0.57,0.59,0.56,0.59,0.6,0.63,0.58,0.59,0.6,1.75,1.76,1.81,1.73,1.68,1.68,1.64,1.58,1.26,0.98,35,35,34,34,32,30,30,29,29,29,37,37,37,37,37,37,37,37,37,37,35,35,35,35,36,36,37,37,37,37
Mirae Asset Large Cap Fund-Reg(G),Equity : Large Cap,4457,18.45,1.6,27.74,13.7,12.73,-0.64,38.58,8.09,4.25,52.86,33,19,14,20,10,10,2,4,6,3,2.47,1.31,4.76,7.25,0.25,2.37,1.01,0.38,0.26,5.93,11,20,9,11,19,22,29,34,29,32,8.76,10.06,1.65,8.05,3.44,10.72,-4.29,3.94,8.54,-8.3,10,18,35,35,23,28,21,23,27,11,24.08,2.41,25.87,14.65,10.95,-2.17,31.3,4.13,1.2,42.67,1.96,1.32,4.37,6.61,0.4,2.75,1.66,2.35,1.6,7.39,7.8,9.98,5.75,11.23,4.22,11.7,-4.18,4.22,9.98,-9.32,36,34,33,31,30,30,28,28,28,28,38,37,37,37,37,37,37,36,36,36,34,34,35,36,36,36,36,36,37,37
Mirae Asset Large & Midcap Fund-Reg(G),Equity : Large & Mid Cap,9767,29.34,-1.45,39.13,22.4,14.72,-5.42,49.01,12.17,14.08,84.62,15,18,11,5,2,10,2,3,2,2,0.93,0.93,5.11,7.42,0.93,4.04,-0.48,1.18,2.26,7.15,26,23,5,16,22,18,27,22,14,8,7.08,12.79,2.97,10.84,8.11,12.89,-4.39,3.2,8.27,-8.92,21,22,22,17,8,16,18,12,26,10,29.97,1.67,37.71,16.05,8.72,-6.96,38.13,6.54,4.76,51.58,2,1.67,4.17,7.63,1.47,4.68,0.95,1.9,2.52,6.49,8.03,14.33,5.41,11.54,7,13.56,-4.1,2.75,12.11,-9.73,26,26,26,25,21,20,20,20,18,18,29,29,29,29,29,29,29,27,27,26,26,26,26,26,26,26,26,27,29,29
ICICI Pru Equity & Debt Fund(G),Hybrid : Equity Oriented,1482,28.25,11.7,41.7,8.95,9.33,-1.91,24.78,13.66,2.1,45.56,3,2,3,40,17,25,12,2,21,7,2.22,1.44,4.61,4.24,-0.2,2.36,2.26,2.86,3.45,5.55,6,17,3,27,52,22,2,3,4,10,8.47,6.48,8.8,9.59,8.54,9.03,-1.11,5.08,7.03,-5.01,4,32,2,8,3,19,21,4,25,26,17.14,2.68,19.47,11.86,7.41,-1.41,20.48,6.33,3.95,34.33,1.22,1.12,2.66,4.13,0.73,2.25,0.78,1.31,1.39,4.01,5.08,7.27,3.53,6.66,3.81,7.43,-1.57,2.69,6.24,-5.36,54,54,52,51,46,38,36,33,29,24,55,55,55,55,55,55,55,55,55,55,54,54,54,54,54,54,55,55,55,55
SBI Contra Fund-Reg(G),Equity : Value / Contra,2809,38.22,12.76,49.92,30.6,-1.03,-14.33,40.23,2.4,-0.1,47.66,6,4,2,1,14,13,8,13,11,11,1.22,0.82,4.84,6.89,-0.15,5.43,0.48,2.11,3.18,7.67,14,16,11,14,21,7,10,12,12,11,6.99,12.53,5.86,13.13,9.37,12.93,-1.08,5.59,12.44,-3.54,14,15,9,13,4,10,2,10,5,1,34.42,5.98,36.12,16.43,2.39,-8.75,39.93,6.46,2.48,58.08,1.24,1.39,5.12,6.9,1.29,4.62,0.16,2,3.82,7.72,7.91,13.29,6.07,13.86,8.29,12.73,-3.44,5.76,11.08,-9.04,21,21,18,17,17,15,15,15,14,14,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,22,22,22,22,22
Axis ELSS Tax Saver Fund-Reg(G),Equity : Tax Saving (ELSS),8408,21.96,-11.97,24.54,20.52,14.83,2.67,37.44,-0.69,6.7,66.18,50,54,48,13,2,2,21,31,6,2,3.17,1.39,4.45,7.57,-1.08,1.62,5.19,2.57,-1.12,5.11,6,38,21,30,57,56,1,13,57,52,9.26,8.13,6.69,10.21,1.3,16.86,-6.51,-1.65,13.46,-14.94,12,55,11,41,59,8,55,50,17,54,29.71,2.67,38.39,17.65,6.68,-8.9,37.92,5.23,3.06,50.41,1.74,1.61,3.92,7.48,0.73,4.7,0.22,1.48,2.07,6.39,7.43,13.37,3.83,11.5,6.42,13.39,-3.69,2.59,12.14,-9.4,57,54,54,54,51,44,39,35,28,27,59,59,59,59,59,59,59,59,59,59,54,54,54,57,58,59,59,59,59,59
Nippon India Multi Cap Fund(G),Equity : Multi Cap,2466,38.13,14.12,48.91,0.04,2.2,-2.19,40.87,-6.67,0.51,59.67,4,2,3,20,15,5,6,14,12,4,2.4,0.73,3.88,6.18,2.19,7.69,1.85,2.15,2.39,5.73,18,34,25,34,8,2,4,13,21,23,7.15,16.84,6.53,9.29,10.57,16.65,-2.01,2.05,17.95,-8.74,29,3,10,28,4,1,3,20,1,9,29.3,1.54,36.94,15.88,9.81,-6.6,39.26,2.92,2.93,53.63,2.17,1.98,4.25,7.53,0.83,4.64,0.57,1.38,2.68,6.26,8.64,13.46,4.76,11.46,7.24,13.41,-4.24,2.53,12.28,-9.9,29,27,21,20,15,15,14,14,14,13,39,39,38,37,37,37,37,37,36,36,28,28,28,29,32,32,35,36,37,38
HDFC Top 100 Fund(G),Equity : Large Cap,1331,30.02,10.61,28.54,5.91,7.7,0.13,31.97,8.52,-6.09,46.52,3,2,11,30,23,6,12,3,28,8,2.03,1.45,4.71,5.32,0.46,1.85,1.67,1.5,1.6,8.39,19,17,12,33,14,30,18,29,15,9,8.38,7.76,4.85,12.55,5.96,11.44,-2.17,7.4,7.94,-6.37,14,33,22,9,7,21,3,1,33,1,24.08,2.41,25.87,14.65,10.95,-2.17,31.3,4.13,1.2,42.67,1.96,1.32,4.37,6.61,0.4,2.75,1.66,2.35,1.6,7.39,7.8,9.98,5.75,11.23,4.22,11.7,-4.18,4.22,9.98,-9.32,36,34,33,31,30,30,28,28,28,28,38,37,37,37,37,37,37,36,36,36,34,34,35,36,36,36,36,36,37,37
SBI Focused Equity Fund-Reg(G),Equity : Multi Cap,2817,22.23,-8.49,42.98,14.54,16.06,-3.81,44.73,2.22,4.33,58.01,26,26,6,12,3,6,5,8,4,5,2.76,0.33,2.92,5.09,1.32,4.09,5.19,-1.14,0.08,3.36,12,38,35,37,15,23,2,36,35,36,6.11,10.84,4.08,7.14,5.79,13.91,-5.34,-0.31,11.5,-11.38,34,31,23,34,23,13,23,24,18,22,29.3,1.54,36.94,15.88,9.81,-6.6,39.26,2.92,2.93,53.63,2.17,1.98,4.25,7.53,0.83,4.64,0.57,1.38,2.68,6.26,8.64,13.46,4.76,11.46,7.24,13.41,-4.24,2.53,12.28,-9.9,29,27,21,20,15,15,14,14,14,13,39,39,38,37,37,37,37,37,36,36,28,28,28,29,32,32,35,36,37,38
