MF Code,incept_date,schemecode,sdx_returns,sharpex_returns,sotinox_returns,betax_returns,alphax_returns,treynorx_returns,sdy_returns,sharpey_returns,sotinoy_returns,betay_returns,alphay_returns,treynory_returns,rank_sd,rank_sharpe,rank_sotino,rank_beta,rank_alpha,rank_treynor,index_name,s_name,avg_std_dev,avg_sharpe,avg_sotino,avg_beta,avg_alpha,avg_treyno,no_of_funds_total
Nippon India Growth Fund(G),1995-10-08,2573,16.95,2.21,3.23,0.96,18.6,38.88,1.07,0.14,0.2,0.96,0.07,0.15,21,11,12,23,11,14,Nifty Midcap 150 - TRI,Nippon India Growth Fund(G),16.4,2.13,3.17,0.92,16.88,38.14,30
Nippon India Large Cap Fund(G),2007-08-08,2455,14.07,2.01,2.9,0.99,8.97,28.7,0.89,0.13,0.18,0.99,0.04,0.11,19,12,17,26,14,15,BSE 100 - TRI,Nippon India Large Cap Fund(G),13.97,1.94,2.92,0.95,8.37,28.52,36
SBI Small Cap Fund-Reg(G),2009-09-09,7885,13.62,1.93,2.84,0.68,13.13,38.76,0.86,0.12,0.18,0.68,0.05,0.15,1,11,7,1,14,7,BSE 250 Small Cap - TRI,SBI Small Cap Fund-Reg(G),16.44,1.9,2.74,0.83,15.09,37.85,24
Nippon India ETF Nifty 50 BeES,2001-12-28,2272,13.46,1.7,2.61,0.99,3.83,23.01,0.85,0.11,0.16,0.99,0.02,0.09,40,83,88,62,95,90,NIFTY 50 - TRI,Nippon India ETF Nifty 50 BeES,16.6,1.82,2.93,1.1,11.73,34.92,141
HDFC Small Cap Fund-Reg(G),2008-04-03,4455,15.57,1.61,2.33,0.78,9.7,31.95,0.98,0.1,0.15,0.78,0.04,0.13,8,23,22,8,22,22,BSE 250 Small Cap - TRI,HDFC Small Cap Fund-Reg(G),16.44,1.9,2.74,0.83,15.09,37.85,24
SBI Balanced Advantage Fund-Reg(G),2021-08-31,32097,6.21,2.77,4.11,1.03,13.23,16.61,0.39,0.17,0.26,1.03,0.05,0.07,3,1,2,4,6,3,NIFTY 50 Hybrid Composite Debt 50:50 Index,SBI Balanced Advantage Fund-Reg(G),8.71,2.13,3.13,1.52,12.42,12.87,28
Kotak Liquid Fund-Reg(G),2003-11-04,2060,0.16,9.93,12.68,0.0,1.56,-321.2,0.01,0.63,0.8,0.0,0.01,-1.27,36,32,4,5,4,14,Nifty Liquid Fund Index,Kotak Liquid Fund-Reg(G),0.09,10.74,6.95,0.0,0.91,-386.2,37
Axis Midcap Fund-Reg(G),2011-02-18,13049,14.66,2.27,3.47,0.85,16.66,39.06,0.92,0.14,0.22,0.85,0.07,0.16,4,7,6,6,17,13,BSE 150 MidCap - TRI,Axis Midcap Fund-Reg(G),16.4,2.13,3.17,0.92,16.88,38.14,30
Aditya Birla SL Frontline Equity Fund(G),2002-08-30,447,13.34,2.0,3.01,0.96,7.86,27.82,0.84,0.13,0.19,0.96,0.03,0.11,13,14,13,18,19,19,NIFTY 100 - TRI,Aditya Birla SL Frontline Equity Fund(G),13.97,1.94,2.92,0.95,8.37,28.52,36
HDFC Corp Bond Fund(G),2010-06-29,8241,0.67,6.96,12.59,0.28,3.5,16.38,0.04,0.44,0.79,0.28,0.01,0.06,6,2,4,6,1,4,NIFTY Corporate Bond Index,HDFC Corp Bond Fund(G),0.74,5.68,10.98,0.34,2.81,12.74,21
SBI Arbitrage Opportunities Fund-Reg(G),2006-11-03,2709,1.02,3.11,7.01,-0.12,3.65,-25.48,0.06,0.2,0.44,-0.12,0.01,-0.1,14,13,12,16,15,18,Nifty 50 Arbitrage,SBI Arbitrage Opportunities Fund-Reg(G),1.02,3.0,6.67,-0.12,3.56,-23.43,25
SBI Large & Midcap Fund-Reg(G),1993-02-28,2801,12.63,2.19,3.22,0.83,11.59,33.36,0.8,0.14,0.2,0.83,0.05,0.13,2,10,10,2,17,13,NIFTY LargeMidcap 250 - TRI,SBI Large & Midcap Fund-Reg(G),15.24,2.1,3.06,0.94,13.17,33.64,26
SBI Long Term Equity Fund-Reg(G),1993-03-31,2815,13.83,2.83,4.17,0.89,21.8,43.87,0.87,0.18,0.26,0.89,0.09,0.17,22,2,3,26,3,4,BSE 500 - TRI,SBI Long Term Equity Fund-Reg(G),14.61,1.97,2.91,0.91,10.82,31.54,59
UTI Flexi Cap Fund-Reg(G),2005-08-01,3461,11.23,1.89,3.16,0.69,7.74,30.82,0.71,0.12,0.2,0.69,0.03,0.12,2,27,17,2,30,24,NIFTY 500 - TRI,UTI Flexi Cap Fund-Reg(G),14.68,2.02,2.98,0.94,11.13,31.53,45
ICICI Pru Corp Bond Fund(G),2009-08-11,7925,0.6,6.69,12.73,0.24,3.05,16.61,0.04,0.42,0.8,0.24,0.01,0.07,3,4,3,3,5,3,NIFTY Corporate Bond Index,ICICI Pru Corp Bond Fund(G),0.74,5.68,10.98,0.34,2.81,12.74,21
Quant Small Cap Fund(G),1996-10-16,876,19.51,1.96,2.73,1.03,18.07,37.2,1.23,0.12,0.17,1.03,0.07,0.15,24,9,13,24,7,15,Nifty Smallcap 250 - TRI,Quant Small Cap Fund(G),16.44,1.9,2.74,0.83,15.09,37.85,24
Nippon India Liquid Fund(G),2003-12-09,2637,0.07,10.31,5.45,0.0,0.76,-349.6,0.0,0.65,0.34,0.0,0.0,-1.39,21,26,27,18,20,18,Nifty Liquid Fund Index,Nippon India Liquid Fund(G),0.09,10.74,6.95,0.0,0.91,-386.2,37
Mirae Asset ELSS Tax Saver Fund-Reg(G),2015-12-28,33536,13.95,1.97,2.84,0.95,8.92,29.01,0.88,0.12,0.18,0.95,0.04,0.12,25,29,32,40,36,39,NIFTY 500 - TRI,Mirae Asset ELSS Tax Saver Fund-Reg(G),14.61,1.97,2.91,0.91,10.82,31.54,59
Kotak Equity Opp Fund(G),2004-09-09,2069,15.39,2.05,2.93,0.98,12.2,32.1,0.97,0.13,0.18,0.98,0.05,0.13,18,16,18,19,15,16,NIFTY LargeMidcap 250 - TRI,Kotak Equity Opp Fund(G),15.24,2.1,3.06,0.94,13.17,33.64,26
Kotak Money Market Fund(G),2003-07-14,1999,0.33,11.0,23.24,0.02,3.55,234.64,0.02,0.69,1.46,0.02,0.01,0.93,20,7,2,10,5,7,CRISIL Money Market Index,Kotak Money Market Fund(G),0.31,10.51,21.91,0.02,3.25,219.97,22
Canara Rob Emerg Equities Fund-Reg(G),2005-03-11,523,14.41,2.13,3.29,0.91,12.93,33.84,0.91,0.13,0.21,0.91,0.05,0.13,8,12,9,8,13,12,NIFTY LargeMidcap 250 - TRI,Canara Rob Emerg Equities Fund-Reg(G),15.24,2.1,3.06,0.94,13.17,33.64,26
Axis Liquid Fund-Reg(G),2009-10-09,8029,0.07,10.68,5.8,0.0,0.78,-303.51,0.0,0.67,0.37,0.0,0.0,-1.2,26,18,10,11,13,9,Nifty Liquid Fund Index,Axis Liquid Fund-Reg(G),0.09,10.74,6.95,0.0,0.91,-386.2,37
SBI Savings Fund-Reg(G),2004-07-14,2774,0.3,10.21,21.28,0.02,3.05,194.95,0.02,0.64,1.34,0.02,0.01,0.77,5,16,16,12,18,19,CRISIL Money Market Index,SBI Savings Fund-Reg(G),0.31,10.51,21.91,0.02,3.25,219.97,22
HDFC Money Market Fund-Reg(G),2000-01-03,1119,0.32,11.17,23.1,0.02,3.5,234.11,0.02,0.7,1.46,0.02,0.01,0.93,12,2,6,9,8,8,CRISIL Money Market Index,HDFC Money Market Fund-Reg(G),0.31,10.51,21.91,0.02,3.25,219.97,22
HDFC Hybrid Equity Fund(G),2005-04-06,1311,9.81,1.72,2.49,1.68,10.36,10.03,0.62,0.11,0.16,1.68,0.04,0.04,31,50,50,39,33,50,NIFTY 50 Hybrid Composite Debt 65:35 Index,HDFC Hybrid Equity Fund(G),7.87,2.17,3.3,1.25,12.62,14.78,53
ICICI Pru India Opp Fund(G),2019-01-15,42140,10.9,2.86,4.51,0.73,16.91,42.81,0.69,0.18,0.28,0.73,0.07,0.17,1,3,3,6,16,5,NIFTY 500 - TRI,ICICI Pru India Opp Fund(G),15.92,2.07,3.1,0.93,13.57,34.29,53
Axis Small Cap Fund-Reg(G),2013-11-29,21651,14.16,1.86,2.77,0.74,11.89,35.61,0.89,0.12,0.17,0.74,0.05,0.14,2,13,12,5,20,17,Nifty Smallcap 250 - TRI,Axis Small Cap Fund-Reg(G),16.44,1.9,2.74,0.83,15.09,37.85,24
Tata Money Market Fund-Reg(G),2003-05-22,3267,0.33,10.97,22.84,0.02,3.53,221.91,0.02,0.69,1.44,0.02,0.01,0.88,18,8,9,14,7,10,CRISIL Money Market Index,Tata Money Market Fund-Reg(G),0.31,10.51,21.91,0.02,3.25,219.97,22
ICICI Pru Money Market Fund(G),2006-03-08,1690,0.33,11.05,23.24,0.01,3.58,265.0,0.02,0.7,1.46,0.01,0.01,1.05,21,5,3,4,2,2,Nifty Money Market Index,ICICI Pru Money Market Fund(G),0.31,10.51,21.91,0.02,3.25,219.97,22
Aditya Birla SL Money Manager Fund(G),2005-10-13,394,0.32,11.27,23.04,0.02,3.58,220.1,0.02,0.71,1.45,0.02,0.01,0.87,14,1,7,17,1,11,CRISIL Money Market Index,Aditya Birla SL Money Manager Fund(G),0.31,10.51,21.91,0.02,3.25,219.97,22
HDFC Large and Mid Cap Fund-Reg(G),1994-02-18,2271,15.13,2.07,2.94,0.98,12.1,31.95,0.95,0.13,0.19,0.98,0.05,0.13,12,14,17,18,16,17,NIFTY LargeMidcap 250 - TRI,HDFC Large and Mid Cap Fund-Reg(G),15.24,2.1,3.06,0.94,13.17,33.64,26
ICICI Pru Equity-Arbitrage Fund(G),2006-12-30,1467,1.01,3.22,7.32,-0.12,3.7,-27.19,0.06,0.2,0.46,-0.12,0.01,-0.11,10,8,7,23,10,21,Nifty 50 Arbitrage,ICICI Pru Equity-Arbitrage Fund(G),1.02,3.0,6.67,-0.12,3.56,-23.43,25
Aditya Birla SL Flexi Cap Fund(G),1998-08-27,445,13.55,2.22,3.37,0.94,11.67,32.03,0.85,0.14,0.21,0.94,0.05,0.13,15,14,11,25,20,19,NIFTY 500 - TRI,Aditya Birla SL Flexi Cap Fund(G),14.68,2.02,2.98,0.94,11.13,31.53,45
SBI Flexicap Fund-Reg(G),2005-09-16,2799,12.63,1.74,2.53,0.85,5.37,25.7,0.8,0.11,0.16,0.85,0.02,0.1,6,36,36,9,40,37,BSE 500 - TRI,SBI Flexicap Fund-Reg(G),14.68,2.02,2.98,0.94,11.13,31.53,45
ICICI Pru Asset Allocator Fund(FOF)(G),2003-12-18,1704,4.53,3.55,5.93,0.86,12.7,18.77,0.29,0.22,0.37,0.86,0.05,0.07,13,3,3,16,33,15,CRISIL Hybrid 50+50 - Moderate Index,ICICI Pru Asset Allocator Fund(FOF)(G),9.35,2.39,3.9,1.27,14.96,16.81,53
Aditya Birla SL Corp Bond Fund(G),1997-03-03,453,0.88,5.32,10.37,0.46,2.92,10.31,0.06,0.34,0.65,0.46,0.01,0.04,20,16,14,21,7,20,NIFTY Corporate Bond Index,Aditya Birla SL Corp Bond Fund(G),0.74,5.68,10.98,0.34,2.81,12.74,21
SBI Magnum Midcap Fund-Reg(G),2005-03-29,2789,12.73,2.06,3.12,0.7,12.65,37.42,0.8,0.13,0.2,0.7,0.05,0.15,1,20,18,1,24,19,Nifty Midcap 150 - TRI,SBI Magnum Midcap Fund-Reg(G),16.4,2.13,3.17,0.92,16.88,38.14,30
UTI Liquid Fund-Reg(G),2003-12-10,3590,0.07,11.2,5.58,0.0,0.76,-389.14,0.0,0.71,0.35,0.0,0.0,-1.54,10,11,19,23,19,24,Nifty Liquid Fund Index,UTI Liquid Fund-Reg(G),0.09,10.74,6.95,0.0,0.91,-386.2,37
ICICI Pru Nifty 50 ETF,2013-03-20,20803,13.46,1.7,2.61,0.99,3.86,23.01,0.85,0.11,0.16,0.99,0.02,0.09,41,82,87,64,94,91,NIFTY 50 - TRI,ICICI Pru Nifty 50 ETF,16.6,1.82,2.93,1.1,11.73,34.92,141
ICICI Pru Savings Fund(G),2002-09-27,1500,0.35,10.93,21.88,0.05,3.68,79.38,0.02,0.69,1.38,0.05,0.01,0.32,19,1,1,3,1,2,NIFTY Low Duration Debt Index,ICICI Pru Savings Fund(G),0.34,9.87,19.94,0.06,3.08,57.83,20
Bharat 22 ETF,2017-11-24,38252,23.06,1.75,2.41,3.3,27.72,12.25,1.45,0.11,0.15,3.3,0.11,0.05,130,78,114,140,10,135,BSE Bharat 22 Index - TRI,Bharat 22 ETF,16.6,1.82,2.93,1.1,11.73,34.92,141
UTI Nifty 50 Index Fund-Reg(G),2000-03-04,3641,13.52,1.67,2.56,1.0,3.07,22.68,0.85,0.11,0.16,1.0,0.01,0.09,29,67,62,51,73,73,NIFTY 50 - TRI,UTI Nifty 50 Index Fund-Reg(G),16.72,1.86,2.81,1.05,11.36,31.35,102
DSP Midcap Fund-Reg(G),2006-11-14,735,15.29,1.99,2.96,0.84,13.86,36.01,0.96,0.13,0.19,0.84,0.06,0.14,5,22,23,4,22,21,Nifty Midcap 150 - TRI,DSP Midcap Fund-Reg(G),16.4,2.13,3.17,0.92,16.88,38.14,30
SBI Corp Bond Fund-Reg(G),2019-02-01,40450,0.71,5.46,9.92,0.33,2.6,11.74,0.04,0.34,0.62,0.33,0.01,0.05,7,12,18,7,15,11,NIFTY Corporate Bond Index,SBI Corp Bond Fund-Reg(G),0.74,5.68,10.98,0.34,2.81,12.74,21
ICICI Pru Short Term Fund(G),2001-10-25,1682,0.66,6.03,12.08,0.31,2.75,12.8,0.04,0.38,0.76,0.31,0.01,0.05,12,6,10,12,6,6,Nifty Short Duration Debt Index,ICICI Pru Short Term Fund(G),0.67,5.37,11.21,0.28,2.31,-328.36,25
SBI Multicap Fund-Reg(G),2022-03-08,46405,12.79,2.18,3.27,0.73,13.66,38.0,0.81,0.14,0.21,0.73,0.05,0.15,5,13,9,2,14,5,Nifty500 Multicap 50:25:25 - TRI,SBI Multicap Fund-Reg(G),14.74,2.07,3.04,0.91,12.25,33.15,36
HDFC Index Fund-NIFTY 50 Plan(G)(Post Addendum),2002-07-17,12633,13.52,1.67,2.56,1.0,3.05,22.68,0.85,0.11,0.16,1.0,0.01,0.09,30,69,64,52,74,74,NIFTY 50 - TRI,HDFC Index Fund-NIFTY 50 Plan(G)(Post Addendum),16.72,1.86,2.81,1.05,11.36,31.35,102
BHARAT Bond ETF - April 2030,2019-12-30,44421,1.01,5.45,10.16,0.4,3.96,13.94,0.06,0.34,0.64,0.4,0.02,0.06,11,8,6,12,4,9,NIFTY BHARAT Bond Index - April 2030,BHARAT Bond ETF - April 2030,0.92,5.17,9.33,0.42,2.31,-21.69,20
Motilal Oswal Midcap Fund-Reg(G),2014-02-24,22533,16.36,3.09,5.42,0.85,33.89,59.45,1.03,0.19,0.34,0.85,0.13,0.24,18,1,1,5,1,1,Nifty Midcap 150 - TRI,Motilal Oswal Midcap Fund-Reg(G),16.4,2.13,3.17,0.92,16.88,38.14,30
Invesco India Contra Fund(G),2007-04-11,2169,15.29,2.52,3.67,1.0,18.95,38.51,0.96,0.16,0.23,1.0,0.08,0.15,11,5,5,11,3,5,BSE 500 - TRI,Invesco India Contra Fund(G),15.48,2.22,3.26,0.98,14.56,35.09,22
Kotak Small Cap Fund(G),2005-02-24,2066,14.22,2.21,3.18,0.72,17.16,43.5,0.9,0.14,0.2,0.72,0.07,0.17,3,2,2,3,8,5,Nifty Smallcap 250 - TRI,Kotak Small Cap Fund(G),16.44,1.9,2.74,0.83,15.09,37.85,24
Franklin India Flexi Cap Fund(G),1994-09-29,950,13.43,2.3,3.38,0.93,12.75,33.36,0.85,0.14,0.21,0.93,0.05,0.13,14,11,8,19,17,16,NIFTY 500 - TRI,Franklin India Flexi Cap Fund(G),14.68,2.02,2.98,0.94,11.13,31.53,45
HDFC Multi Cap Fund-Reg(G),2021-12-10,46093,15.15,2.04,2.92,0.96,11.94,31.98,0.95,0.13,0.18,0.96,0.05,0.13,24,22,26,22,21,21,Nifty500 Multicap 50:25:25 - TRI,HDFC Multi Cap Fund-Reg(G),14.74,2.07,3.04,0.91,12.25,33.15,36
Mirae Asset Midcap Fund-Reg(G),2019-07-29,43349,15.51,1.9,2.76,0.88,12.2,33.44,0.98,0.12,0.17,0.88,0.05,0.13,8,25,25,11,27,25,Nifty Midcap 150 - TRI,Mirae Asset Midcap Fund-Reg(G),16.4,2.13,3.17,0.92,16.88,38.14,30
DSP ELSS Tax Saver Fund-Reg(G),2007-01-18,745,15.02,2.39,3.43,1.01,16.0,35.43,0.95,0.15,0.22,1.01,0.06,0.14,36,8,11,51,9,12,NIFTY 500 - TRI,DSP ELSS Tax Saver Fund-Reg(G),14.61,1.97,2.91,0.91,10.82,31.54,59
ICICI Pru Flexicap Fund(G),2021-07-19,45492,12.79,2.37,3.72,0.83,14.09,36.64,0.81,0.15,0.23,0.83,0.06,0.15,8,6,6,6,15,9,BSE 500 - TRI,ICICI Pru Flexicap Fund(G),14.68,2.02,2.98,0.94,11.13,31.53,45
Invesco India Arbitrage Fund(G),2007-04-30,2167,1.02,3.26,7.5,-0.12,3.81,-27.37,0.06,0.21,0.47,-0.12,0.02,-0.11,15,5,5,21,5,22,Nifty 50 Arbitrage,Invesco India Arbitrage Fund(G),1.02,3.0,6.67,-0.12,3.56,-23.43,25
ICICI Pru Large & Mid Cap Fund(G),1998-07-09,1608,12.76,2.56,3.78,0.83,16.33,39.16,0.8,0.16,0.24,0.83,0.06,0.16,3,3,3,3,6,6,NIFTY LargeMidcap 250 - TRI,ICICI Pru Large & Mid Cap Fund(G),15.24,2.1,3.06,0.94,13.17,33.64,26
HSBC Small Cap Fund-Reg(G),2014-05-12,22139,17.01,1.8,2.61,0.85,13.83,35.81,1.07,0.11,0.16,0.85,0.05,0.14,16,16,17,19,13,16,Nifty Smallcap 250 - TRI,HSBC Small Cap Fund-Reg(G),16.44,1.9,2.74,0.83,15.09,37.85,24
