MF Code,schemecode,fund_house,returns_1month,returns_3month,returns_6month,returns_1year,index_name,returns_3year,returns_5year,returns_10year,ytd_returns,rank_ytd,rank_1month,rank_3month,rank_6month,rank_1year,rank_3year,rank_5year,rank_10year,s_name,classification,funds_num_ytd,funds_num_month1,funds_num_month3,funds_num_month6,funds_num_year1,funds_num_year3,funds_num_year5,funds_num_year10,ytd_avg,avg_month1,avg_month3,avg_month6,avg_year1,avg_year3,avg_year5,avg_year10,monthret_1,monthret_3,monthret_6,yrret_1,yrret_3,yrret_5,yrret_10,ytdret
SBI Focused Equity Fund-Reg(G),2817,SBI Mutual Fund,0.19,6.27,12.97,28.13,S&P BSE 500 - TRI,15.72,16.47,17.21,7.36,16,3,2,35,29,19,13,5,SBI Focused Equity Fund-Reg(G),Equity : Multi Cap,37,38,38,37,33,23,16,13,6.78,-1.31,2.94,18.36,37.08,19.32,19.98,16.46,-2.04,2.73,18.88,33.21,18.54,18.57,12.44,15.0
HDFC Top 100 Fund(G),1331,HDFC Mutual Fund,-2.61,1.66,17.16,31.35,NIFTY 100 - TRI,20.31,15.99,14.32,4.37,27,23,33,19,14,4,11,13,HDFC Top 100 Fund(G),Equity : Large Cap,36,37,37,36,36,33,31,28,6.15,-2.22,2.89,17.95,30.27,16.32,15.89,14.24,,,,,,,,
Kotak Liquid Fund-Reg(G),2060,Kotak Mahindra Mutual Fund,0.54,1.84,3.65,7.19,Nifty Liquid Fund Index,5.49,5.11,6.37,2.64,18,20,17,21,23,25,22,17,Kotak Liquid Fund-Reg(G),Debt : Liquid,37,37,37,37,36,35,34,29,2.61,0.54,1.81,3.61,7.14,5.47,5.08,6.32,,,,,,,,
Axis Liquid Fund-Reg(G),8029,Axis Mutual Fund,0.55,1.87,3.7,7.29,Nifty Liquid Fund Index,5.59,5.23,6.46,2.68,1,4,1,2,2,2,4,3,Axis Liquid Fund-Reg(G),Debt : Liquid,37,37,37,37,36,35,34,29,2.61,0.54,1.81,3.61,7.14,5.47,5.08,6.32,,,,,,,,
Nippon India Liquid Fund(G),2637,Nippon India Mutual Fund,0.54,1.85,3.66,7.21,Nifty Liquid Fund Index,5.5,5.18,6.43,2.66,8,21,9,13,16,21,10,7,Nippon India Liquid Fund(G),Debt : Liquid,37,37,37,37,36,35,34,29,2.61,0.54,1.81,3.61,7.14,5.47,5.08,6.32,,,,,,,,
Nippon India Multi Cap Fund(G),2466,Nippon India Mutual Fund,-0.17,5.91,21.47,46.58,Nifty500 Multicap 50:25:25 - TRI,30.5,21.74,17.53,11.56,2,7,3,8,5,1,5,3,Nippon India Multi Cap Fund(G),Equity : Multi Cap,37,38,38,37,33,23,16,13,6.78,-1.31,2.94,18.36,37.08,19.32,19.98,16.46,,,,,,,,
HDFC Small Cap Fund-Reg(G),4455,HDFC Mutual Fund,-3.06,-1.21,14.27,41.69,S&P BSE 250 Small Cap - TRI,28.45,23.56,20.52,3.94,17,27,24,16,11,5,17,7,HDFC Small Cap Fund-Reg(G),Equity : Small Cap,27,27,27,26,24,22,19,11,6.04,-0.42,1.29,15.8,44.82,26.07,26.68,21.23,-2.01,0.55,19.68,53.2,26.38,24.33,9.19,17.4
SBI Contra Fund-Reg(G),2809,SBI Mutual Fund,-1.51,2.99,22.42,43.72,S&P BSE 500 - TRI,29.07,26.31,18.53,10.26,3,12,10,8,8,1,1,4,SBI Contra Fund-Reg(G),Equity : Value / Contra,22,22,22,22,21,18,17,14,8.43,-1.4,2.3,22.19,42.83,22.24,19.92,17.38,-2.04,2.73,18.88,33.21,18.54,18.57,12.44,15.0
SBI Arbitrage Opportunities Fund-Reg(G),2709,SBI Mutual Fund,0.47,1.79,3.79,7.75,Nifty 50 Arbitrage,5.88,5.23,5.9,2.93,10,13,11,10,2,1,6,6,SBI Arbitrage Opportunities Fund-Reg(G),Hybrid : Arbitrage,26,26,26,26,24,24,21,10,2.84,0.45,1.74,3.68,7.43,5.32,5.01,5.86,0.34,1.65,3.8,8.03,5.78,5.05,,7.49
HDFC Corp Bond Fund(G),8241,HDFC Mutual Fund,0.53,1.87,3.89,7.18,NIFTY Corporate Bond Index,5.46,7.18,7.83,2.91,1,6,1,1,3,4,4,3,HDFC Corp Bond Fund(G),Debt : Corporate Bond,21,21,21,21,21,19,18,12,2.61,0.49,1.66,3.61,6.54,4.99,6.49,7.3,,,,,,,,
SBI Small Cap Fund-Reg(G),7885,SBI Mutual Fund,-0.26,3.87,15.79,34.49,S&P BSE 250 Small Cap - TRI,22.46,25.25,25.34,8.65,7,14,3,12,21,18,13,2,SBI Small Cap Fund-Reg(G),Equity : Small Cap,27,27,27,26,24,22,19,11,6.04,-0.42,1.29,15.8,44.82,26.07,26.68,21.23,-2.01,0.55,19.68,53.2,26.38,24.33,9.19,17.4
ICICI Pru Corp Bond Fund(G),7925,ICICI Prudential Mutual Fund,0.56,1.87,3.68,7.36,NIFTY Corporate Bond Index,5.89,7.19,7.63,2.67,7,1,2,8,1,1,3,5,ICICI Pru Corp Bond Fund(G),Debt : Corporate Bond,21,21,21,21,21,19,18,12,2.61,0.49,1.66,3.61,6.54,4.99,6.49,7.3,,,,,,,,
Aditya Birla SL Frontline Equity Fund(G),447,Aditya Birla Sun Life Mutual Fund,-2.24,2.61,15.51,27.27,NIFTY 100 - TRI,16.48,15.62,14.16,3.99,28,16,20,27,24,12,17,15,Aditya Birla SL Frontline Equity Fund(G),Equity : Large Cap,36,37,37,36,36,33,31,28,6.15,-2.22,2.89,17.95,30.27,16.32,15.89,14.24,,,,,,,,
Nippon India Growth Fund(G),2573,Nippon India Mutual Fund,0.85,3.37,20.77,52.7,Nifty Midcap 150 - TRI,28.43,25.78,20.16,6.57,24,7,15,10,7,3,5,7,Nippon India Growth Fund(G),Equity : Mid Cap,30,30,30,30,30,25,22,20,9.15,-0.19,4.03,20.09,45.99,23.47,23.27,19.62,,,,,,,,
Axis Midcap Fund-Reg(G),13049,Axis Mutual Fund,1.04,7.12,19.34,36.61,S&P BSE 150 MidCap - TRI,18.98,21.82,19.39,9.9,10,5,3,18,26,23,15,11,Axis Midcap Fund-Reg(G),Equity : Mid Cap,30,30,30,30,30,25,22,20,9.15,-0.19,4.03,20.09,45.99,23.47,23.27,19.62,-0.64,2.9,22.52,52.44,25.93,26.27,15.27,25.46
Nippon India Large Cap Fund(G),2455,Nippon India Mutual Fund,-2.34,3.97,20.05,35.93,S&P BSE 100 - TRI,23.88,18.03,16.74,8.1,9,21,9,12,7,1,5,2,Nippon India Large Cap Fund(G),Equity : Large Cap,36,37,37,36,36,33,31,28,6.15,-2.22,2.89,17.95,30.27,16.32,15.89,14.24,-2.29,2.67,16.87,26.66,16.86,16.86,12.13,11.52
Nippon India ETF Nifty 50 BeES,2272,Nippon India Mutual Fund,-3.01,0.87,13.43,21.53,NIFTY 50 - TRI,15.22,15.42,13.55,1.83,86,102,95,84,80,36,31,12,Nippon India ETF Nifty 50 BeES,Equity : ETFs,141,149,145,141,129,76,56,23,5.93,-1.65,2.08,18.87,34.31,17.92,16.84,13.52,,,,,,,,
UTI Flexi Cap Fund-Reg(G),3461,UTI Mutual Fund,-2.11,1.07,6.21,16.35,NIFTY 500 - TRI,8.31,14.5,13.87,-1.77,46,36,39,45,41,29,22,16,UTI Flexi Cap Fund-Reg(G),Equity : Flexi Cap,46,47,47,45,41,29,26,19,7.05,-1.34,3.22,18.38,34.82,18.28,17.63,15.92,,,,,,,,
SBI Long Term Equity Fund-Reg(G),2815,SBI Mutual Fund,-1.35,4.28,29.21,53.15,S&P BSE 500 - TRI,26.61,22.25,16.73,13.92,2,40,18,2,1,7,16,7,SBI Long Term Equity Fund-Reg(G),Equity : Tax Saving (ELSS),60,60,60,60,59,55,53,27,6.16,-1.15,2.62,17.34,34.5,20.33,19.44,15.78,-2.04,2.73,18.88,33.21,18.54,18.57,12.44,15.0
UTI Liquid Fund-Reg(G),3590,UTI Mutual Fund,0.55,1.84,3.66,7.23,Nifty Liquid Fund Index,5.56,5.18,6.43,2.65,16,14,20,17,13,8,8,8,UTI Liquid Fund-Reg(G),Debt : Liquid,37,37,37,37,36,35,34,29,2.61,0.54,1.81,3.61,7.14,5.47,5.08,6.32,,,,,,,,
HDFC Hybrid Equity Fund(G),1311,HDFC Mutual Fund,-0.99,2.07,11.26,18.49,NIFTY 50 Hybrid Composite Debt 65:35 Index,15.09,14.67,12.48,3.77,33,39,34,27,29,11,11,13,HDFC Hybrid Equity Fund(G),Hybrid : Equity Oriented,56,56,56,56,55,53,48,24,4.63,-0.58,2.44,11.05,20.48,12.05,12.44,11.93,,,,,,,,
SBI Savings Fund-Reg(G),2774,SBI Mutual Fund,0.55,1.89,3.59,7.03,CRISIL Money Market Index,5.31,5.57,6.61,2.66,15,12,15,15,16,13,11,10,SBI Savings Fund-Reg(G),Debt : Money Market,22,22,22,22,21,17,14,13,2.71,0.55,1.91,3.66,7.21,5.55,5.77,6.7,,,,,,,,
Aditya Birla SL Money Manager Fund(G),394,Aditya Birla Sun Life Mutual Fund,0.58,2.04,3.85,7.59,CRISIL Money Market Index,5.86,6.14,7.01,2.86,1,1,1,1,1,2,1,1,Aditya Birla SL Money Manager Fund(G),Debt : Money Market,22,22,22,22,21,17,14,13,2.71,0.55,1.91,3.66,7.21,5.55,5.77,6.7,,,,,,,,
SBI Large & Midcap Fund-Reg(G),2801,SBI Mutual Fund,-1.44,1.54,16.06,29.04,NIFTY LargeMidcap 250 - TRI,20.56,19.51,17.43,6.11,21,21,25,20,24,12,11,5,SBI Large & Midcap Fund-Reg(G),Equity : Large & Mid Cap,27,29,27,26,26,26,22,18,8.15,-1.05,3.59,19.73,37.92,20.41,19.49,16.87,,,,,,,,
Mirae Asset ELSS Tax Saver Fund-Reg(G),33536,Mirae Asset Mutual Fund,-1.55,3.58,17.42,31.1,NIFTY 500 - TRI,16.88,19.59,,5.19,36,42,25,28,39,41,22,,Mirae Asset ELSS Tax Saver Fund-Reg(G),Equity : Tax Saving (ELSS),60,60,60,60,59,55,53,27,6.16,-1.15,2.62,17.34,34.5,20.33,19.44,15.78,,,,,,,,
ICICI Pru Money Market Fund(G),1690,ICICI Prudential Mutual Fund,0.57,2.01,3.83,7.54,Nifty Money Market Index,5.76,5.97,6.87,2.83,7,2,5,4,5,7,6,5,ICICI Pru Money Market Fund(G),Debt : Money Market,22,22,22,22,21,17,14,13,2.71,0.55,1.91,3.66,7.21,5.55,5.77,6.7,,,,,,,,
Canara Rob Emerg Equities Fund-Reg(G),523,Canara Robeco Mutual Fund,-1.09,5.38,17.62,31.18,NIFTY LargeMidcap 250 - TRI,17.89,18.7,20.56,7.22,16,16,5,18,21,22,16,3,Canara Rob Emerg Equities Fund-Reg(G),Equity : Large & Mid Cap,27,29,27,26,26,26,22,18,8.15,-1.05,3.59,19.73,37.92,20.41,19.49,16.87,,,,,,,,
Kotak Equity Opp Fund(G),2069,Kotak Mahindra Mutual Fund,0.08,7.22,21.63,38.97,NIFTY LargeMidcap 250 - TRI,21.55,20.77,17.97,11.53,3,4,1,8,13,10,6,4,Kotak Equity Opp Fund(G),Equity : Large & Mid Cap,27,29,27,26,26,26,22,18,8.15,-1.05,3.59,19.73,37.92,20.41,19.49,16.87,,,,,,,,
Aditya Birla SL Corp Bond Fund(G),453,Aditya Birla Sun Life Mutual Fund,0.53,1.73,3.86,7.23,NIFTY Corporate Bond Index,5.62,7.27,7.91,2.73,5,5,3,2,2,3,2,1,Aditya Birla SL Corp Bond Fund(G),Debt : Corporate Bond,21,21,21,21,21,19,18,12,2.61,0.49,1.66,3.61,6.54,4.99,6.49,7.3,,,,,,,,
HDFC Money Market Fund-Reg(G),1119,HDFC Mutual Fund,0.57,2.01,3.8,7.46,CRISIL Money Market Index,5.74,6.07,6.85,2.83,6,6,6,8,8,8,2,7,HDFC Money Market Fund-Reg(G),Debt : Money Market,22,22,22,22,21,17,14,13,2.71,0.55,1.91,3.66,7.21,5.55,5.77,6.7,,,,,,,,
SBI Flexicap Fund-Reg(G),2799,SBI Mutual Fund,-1.24,2.16,14.73,24.77,S&P BSE 500 - TRI,15.01,15.53,16.4,5.47,28,20,32,36,37,26,17,9,SBI Flexicap Fund-Reg(G),Equity : Flexi Cap,46,47,47,45,41,29,26,19,7.05,-1.34,3.22,18.38,34.82,18.28,17.63,15.92,-2.04,2.73,18.88,33.21,18.54,18.57,12.44,15.0
Aditya Birla SL Flexi Cap Fund(G),445,Aditya Birla Sun Life Mutual Fund,-2.03,2.45,16.62,31.93,NIFTY 500 - TRI,15.4,16.23,16.15,4.73,34,35,30,28,24,22,15,10,Aditya Birla SL Flexi Cap Fund(G),Equity : Flexi Cap,46,47,47,45,41,29,26,19,7.05,-1.34,3.22,18.38,34.82,18.28,17.63,15.92,,,,,,,,
SBI Corp Bond Fund-Reg(G),40450,SBI Mutual Fund,0.49,1.66,3.48,6.38,NIFTY Corporate Bond Index,4.91,6.56,,2.55,15,13,10,17,12,9,10,,SBI Corp Bond Fund-Reg(G),Debt : Corporate Bond,21,21,21,21,21,19,18,12,2.61,0.49,1.66,3.61,6.54,4.99,6.49,7.3,,,,,,,,
Quant Small Cap Fund(G),876,Quant Mutual Fund,-2.48,0.94,30.23,60.57,Nifty Smallcap 250 - TRI,32.62,39.06,20.32,13.57,1,26,17,1,4,2,1,8,Quant Small Cap Fund(G),Equity : Small Cap,27,27,27,26,24,22,19,11,6.04,-0.42,1.29,15.8,44.82,26.07,26.68,21.23,,,,,,,,
Axis Small Cap Fund-Reg(G),21651,Axis Mutual Fund,-1.13,-0.76,11.18,34.47,Nifty Smallcap 250 - TRI,23.24,26.41,22.24,3.44,22,21,23,22,22,16,9,3,Axis Small Cap Fund-Reg(G),Equity : Small Cap,27,27,27,26,24,22,19,11,6.04,-0.42,1.29,15.8,44.82,26.07,26.68,21.23,,,,,,,,
ICICI Pru Equity-Arbitrage Fund(G),1467,ICICI Prudential Mutual Fund,0.45,1.79,3.76,7.57,Nifty 50 Arbitrage,5.57,5.2,5.96,2.84,18,16,10,13,12,5,9,4,ICICI Pru Equity-Arbitrage Fund(G),Hybrid : Arbitrage,26,26,26,26,24,24,21,10,2.84,0.45,1.74,3.68,7.43,5.32,5.01,5.86,0.34,1.65,3.8,8.03,5.78,5.05,,7.49
ICICI Pru India Opp Fund(G),42140,ICICI Prudential Mutual Fund,-1.55,4.93,20.15,44.78,NIFTY 500 - TRI,28.41,23.25,,8.36,29,34,15,25,11,6,5,,ICICI Pru India Opp Fund(G),Equity : Thematic,56,60,56,53,44,31,14,8,9.35,-1.24,3.39,22.07,40.16,20.48,21.42,16.05,,,,,,,,
Kotak Money Market Fund(G),1999,Kotak Mahindra Mutual Fund,0.57,2.02,3.83,7.51,CRISIL Money Market Index,5.8,5.87,6.86,2.85,5,5,2,5,6,5,8,6,Kotak Money Market Fund(G),Debt : Money Market,22,22,22,22,21,17,14,13,2.71,0.55,1.91,3.66,7.21,5.55,5.77,6.7,,,,,,,,
HSBC Liquid Fund(G),1340,HSBC Mutual Fund,0.55,1.84,3.67,7.24,Nifty Liquid Fund Index,5.55,5.15,6.4,2.65,9,18,14,11,8,9,16,14,HSBC Liquid Fund(G),Debt : Liquid,37,37,37,37,36,35,34,29,2.61,0.54,1.81,3.61,7.14,5.47,5.08,6.32,,,,,,,,
HDFC Large and Mid Cap Fund-Reg(G),2271,HDFC Mutual Fund,-1.06,2.3,20.06,42.83,NIFTY LargeMidcap 250 - TRI,25.21,21.83,14.76,6.95,18,14,19,14,6,3,2,16,HDFC Large and Mid Cap Fund-Reg(G),Equity : Large & Mid Cap,27,29,27,26,26,26,22,18,8.15,-1.05,3.59,19.73,37.92,20.41,19.49,16.87,,,,,,,,
BHARAT Bond ETF - April 2030,44421,Edelweiss Mutual Fund,0.41,1.63,4.08,6.57,NIFTY BHARAT Bond Index - April 2030,5.79,,,2.99,4,21,10,8,10,1,,,BHARAT Bond ETF - April 2030,Debt : ETFs,22,26,25,22,17,13,6,1,2.38,0.52,1.55,3.71,6.58,4.85,5.15,5.07,,,,,,,,
ICICI Pru Savings Fund(G),1500,ICICI Prudential Mutual Fund,0.57,2.09,3.86,7.76,NIFTY Low Duration Debt Index,5.95,6.62,7.42,2.87,1,1,1,1,1,2,1,1,ICICI Pru Savings Fund(G),Debt : Low Duration,20,20,20,20,20,20,20,18,2.63,0.54,1.84,3.54,6.94,5.35,5.41,6.6,,,,,,,,
ICICI Pru Short Term Fund(G),1682,ICICI Prudential Mutual Fund,0.55,1.81,3.63,7.14,Nifty Short Duration Debt Index,5.78,7.15,7.71,2.59,6,4,3,9,2,4,1,1,ICICI Pru Short Term Fund(G),Debt : Short Duration,26,27,26,26,26,22,21,19,2.36,0.48,1.55,3.4,6.26,5.4,5.86,6.85,,,,,,,,
